"PK_ACTVTY";"FPK_NATURA";"SITECODE";"ACT_CODE";"DESCRIPT_FR";"IN_OUT";"INTENSITY";"INFLUENCE";"POLLUTION";"HABITATS";"ESPECES"
"50304";"6564";"FR4211790";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"I";"L";"-";;;
"50305";"6564";"FR4211790";"C01.01.01";"Carrières de sable et graviers";"O";"H";"-";;;
"50306";"6564";"FR4211790";"D01.02";"Routes, autoroutes";"B";"M";"-";;;
"50307";"6564";"FR4211790";"D01.04";"Voie ferrée, TGV";"I";"L";"-";;;
"50308";"6564";"FR4211790";"G01.03";"Véhicules motorisés";"I";"N";"x";;;
"50309";"6564";"FR4211790";"G04.01";"Manœuvres militaires";"O";"M";"-";;;
"50310";"6564";"FR4211790";"G05.01";"Piétinement, surfréquentation";"I";"L";"-";;;
"50311";"6564";"FR4211790";"H01";"Pollution des eaux de surfaces (limniques et terrestres, marines et saumâtres)";"O";"H";"-";;;
"50312";"6564";"FR4211790";"I03.02";"Pollution génétique (plantes)";"I";"M";"-";;;
"50313";"6564";"FR4211790";"J02.06";"Captages des eaux de surface";"I";"M";"-";;;
"50314";"6564";"FR4211790";"K02.03";"Eutrophisation (naturelle)";"I";"L";"-";;;
"50315";"6564";"FR4211790";"K04.01";"Compétition (flore)";"I";"M";"-";;;
"50316";"6564";"FR4211790";"K04.05";"Dégâts provoqués par les herbivores (gibier inclus)";"I";"M";"-";;;
"75291";"8655";"FR9101431";"K04.01";"Compétition (flore)";"I";"M";"-";;;
"75292";"8655";"FR9101431";"A04";"Pâturage";"I";"M";"+";;;
"75293";"8655";"FR9101431";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"B";"H";"-";;;
"75294";"8655";"FR9101431";"A08";"Fertilisation";"B";"M";"-";;;
"75295";"8655";"FR9101431";"J01.01";"Incendies";"B";"L";"-";;;
"75296";"8655";"FR9101431";"I01";"Espèces exotiques envahissantes";"I";"M";"-";;;
"75297";"8655";"FR9101431";"M01.02";"Sécheresses et diminution des précipitations";"B";"H";"-";;;
"75298";"8655";"FR9101431";"A07";"Utilisation de biocides, d'hormones et de produits chimiques";"B";"M";"-";;;
"75299";"8655";"FR9101431";"E01.04";"Autres formes d'habitations";"I";"M";"-";;;
"75300";"8656";"FR9101472";"A04";"Pâturage";"I";"H";"+";;;
"75301";"8656";"FR9101472";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"H";"-";;;
"75302";"8656";"FR9101472";"B02";"Gestion des forêts et des plantations & exploitation";"I";"L";"+";;;
"75303";"8656";"FR9101472";"J01.01";"Incendies";"I";"M";"+";;;
"75304";"8656";"FR9101472";"E01.04";"Autres formes d'habitations";"I";"L";"-";;;
"75305";"8656";"FR9101472";"G02.02";"Station de ski";"I";"H";"-";;;
"75306";"8656";"FR9101472";"G01";"Sports de plein air et activités de loisirs et récréatives";"I";"M";"-";;;
"75307";"8656";"FR9101472";"G01.02";"Randonnée, équitation et véhicules non-motorisés";"I";"M";"-";;;
"75308";"8656";"FR9101472";"G01.04";"Alpinisme, escalade, spéléologie";"I";"M";"-";;;
"75309";"8656";"FR9101472";"G01.06";"Ski, ski hors-piste";"I";"M";"-";;;
"75310";"8656";"FR9101472";"G05.01";"Piétinement, surfréquentation";"I";"M";"-";;;
"75311";"8656";"FR9101472";"J02.05";"Modifications du fonctionnement hydrographique";"I";"L";"-";;;
"75312";"8656";"FR9101472";"J02.15";"Autres changements des conditions hydrauliques induits par l'homme";"I";"L";"-";;;
"75313";"8656";"FR9101472";"L04";"Avalanche";"I";"L";"-";;;
"75314";"8657";"FR9101481";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"I";"H";"-";;;
"75315";"8657";"FR9101481";"D01.02";"Routes, autoroutes";"I";"L";"-";;;
"75316";"8657";"FR9101481";"D01.04";"Voie ferrée, TGV";"I";"L";"x";;;
"75317";"8657";"FR9101481";"E01";"Zones urbanisées, habitations";"I";"H";"-";;;
"75318";"8657";"FR9101481";"E03.01";"Dépôts de déchets ménagers / liés aux installations récréatives";"I";"H";"-";;;
"75319";"8657";"FR9101481";"G05.01";"Piétinement, surfréquentation";"I";"H";"-";;;
"49872";"6518";"FR2400518";"A04";"Pâturage";"I";"M";"-";;;
"49873";"6518";"FR2400518";"B02";"Gestion des forêts et des plantations & exploitation";"I";"L";"-";;;
"49874";"6518";"FR2400518";"F03.01";"Chasse";"I";"L";"+";;;
"49875";"6519";"FR2400519";"X";"Pas de menace ou pression";;;;;;
"49876";"6520";"FR2400520";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"I";"M";"-";;;
"49877";"6520";"FR2400520";"A04";"Pâturage";"I";"L";"+";;;
"49878";"6520";"FR2400520";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"H";"-";;;
"49879";"6520";"FR2400520";"E02";"Zones industrielles ou commerciales";"O";"M";"-";;;
"49880";"6520";"FR2400520";"F03.01";"Chasse";"I";"L";"+";;;
"49881";"6521";"FR2400521";"J02.03";"Canalisation et dérivation des eaux";"I";"M";"-";;;
"49882";"6521";"FR2400521";"K02.02";"Accumulation de matière organique";"O";"M";"-";;;
"49883";"6521";"FR2400521";"K02.03";"Eutrophisation (naturelle)";"I";"M";"-";;;
"49884";"6521";"FR2400521";"A04.01";"Pâturage intensif";"I";"H";"-";;;
"49885";"6521";"FR2400521";"A04.02";"Pâturage extensif";"I";"L";"+";;;
"49886";"6521";"FR2400521";"F03.01";"Chasse";"I";"L";"+";;;
"75320";"8658";"FR9101482";"D03.01";"Zones portuaires";"I";"N";"x";;;
"75321";"8658";"FR9101482";"D03.02";"Voies de navigation";"I";"N";"x";;;
"75322";"8658";"FR9101482";"F01";"Aquaculture (eau douce et marine)";"I";"N";"x";;;
"75323";"8658";"FR9101482";"G01.01";"Sports nautiques";"I";"N";"x";;;
"75324";"8658";"FR9101482";"G05";"Autres intrusions et perturbations humaines";"I";"N";"x";;;
"75325";"8659";"FR9301503";"A04.01";"Pâturage intensif";"I";"H";"-";;;
"75326";"8659";"FR9301503";"A04.02";"Pâturage extensif";"I";"H";"+";;;
"75327";"8659";"FR9301503";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"H";"-";;;
"75328";"8660";"FR9400601";"G01.04";"Alpinisme, escalade, spéléologie";"I";"L";"-";;;
"75329";"8660";"FR9400601";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"M";"-";;;
"75330";"8660";"FR9400601";"L09";"Incendie (naturel)";"I";"M";"-";;;
"75331";"8661";"FR9400619";"D01.02";"Routes, autoroutes";"I";"H";"-";;;
"75332";"8661";"FR9400619";"D04.01";"Aéroports";"I";"H";"-";;;
"75333";"8661";"FR9400619";"E01";"Zones urbanisées, habitations";"I";"H";"-";;;
"75334";"8661";"FR9400619";"E01.02";"Urbanisation discontinue";"I";"M";"-";;;
"49902";"6523";"FR2400523";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"I";"L";"-";;;
"49903";"6523";"FR2400523";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"M";"-";;;
"49904";"6523";"FR2400523";"E03.04";"Autres décharges";"I";"L";"-";;;
"49905";"6523";"FR2400523";"F03.01";"Chasse";"I";"L";"+";;;
"49906";"6523";"FR2400523";"J02.05";"Modifications du fonctionnement hydrographique";"I";"M";"-";;;
"49907";"6523";"FR2400523";"K02.02";"Accumulation de matière organique";"O";"L";"-";;;
"49908";"6523";"FR2400523";"E01.03";"Habitations dispersées";"I";"L";"-";;;
"49909";"6523";"FR2400523";"A09";"Irrigation";"O";"M";"-";;;
"49910";"6524";"FR2400524";"F03.01";"Chasse";"I";"L";"+";;;
"49911";"6524";"FR2400524";"F01.01";"Aquaculture intensive, intensification";"I";"L";"-";;;
"49912";"6524";"FR2400524";"F01";"Aquaculture (eau douce et marine)";"I";"L";"+";;;
"49913";"6524";"FR2400524";"B02";"Gestion des forêts et des plantations & exploitation";"I";"M";"+";;;
"49914";"6525";"FR2400528";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"I";"L";"-";;;
"49915";"6525";"FR2400528";"A04";"Pâturage";"I";"L";"+";;;
"49916";"6525";"FR2400528";"C01.01";"Extraction de sable et graviers";"I";"L";"-";;;
"49917";"6525";"FR2400528";"D02.01";"Lignes électriques et téléphoniques";"I";"L";"-";;;
"49918";"6525";"FR2400528";"E01.01";"Urbanisation continue";"O";"M";"-";;;
"49919";"6525";"FR2400528";"E01.04";"Autres formes d'habitations";"I";"L";"-";;;
"75335";"8661";"FR9400619";"G01.03";"Véhicules motorisés";"I";"H";"-";;;
"75336";"8661";"FR9400619";"G05";"Autres intrusions et perturbations humaines";"I";"H";"x";;;
"75337";"8661";"FR9400619";"G05.01";"Piétinement, surfréquentation";"I";"H";"x";;;
"75338";"8661";"FR9400619";"J02.12";"Endigages, remblais, plages artificielles";"I";"H";"-";;;
"75339";"8661";"FR9400619";"K01.01";"Erosion";"I";"H";"x";;;
"75340";"8662";"FR9402012";"A04";"Pâturage";"I";"H";"x";;;
"75341";"8662";"FR9402012";"A05.01";"Elevage";"I";"M";"x";;;
"75342";"8662";"FR9402012";"E01.03";"Habitations dispersées";"I";"H";"-";;;
"75343";"8662";"FR9402012";"G01.03";"Véhicules motorisés";"I";"H";"-";;;
"75344";"8662";"FR9402012";"G01.04";"Alpinisme, escalade, spéléologie";"I";"L";"-";;;
"75345";"8662";"FR9402012";"G02.08";"Camping, caravanes";"I";"L";"-";;;
"75346";"8662";"FR9402012";"G05";"Autres intrusions et perturbations humaines";"I";"M";"-";;;
"75347";"8662";"FR9402012";"I01";"Espèces exotiques envahissantes";"I";"M";"-";;;
"75348";"8662";"FR9402012";"G01.08";"Autres activités de plein air et de loisirs";"I";"M";"-";;;
"75349";"8662";"FR9402012";"F03.01";"Chasse";"I";"L";"x";;;
"75350";"8662";"FR9402012";"L09";"Incendie (naturel)";"I";"H";"-";;;
"75351";"8663";"FR9402020";"H06.05";"Exploration sismique, explosions";"B";"L";"-";;;
"75352";"8663";"FR9402020";"H03";"Pollution des eaux marines";"B";"L";"-";;;
"75353";"8663";"FR9402020";"H06.01";"Nuisance et pollution sonores";"B";"L";"-";;;
"75354";"8663";"FR9402020";"F02.02";"Pêche professionnelle active (arts trainants)";"B";"H";"-";;;
"75355";"8663";"FR9402020";"D03.02";"Voies de navigation";"B";"M";"-";;;
"75356";"8663";"FR9402020";"C02";"Exploration et extraction de pétrole ou de gaz";"B";"M";"-";;;
"75357";"8663";"FR9402020";"D02.01";"Lignes électriques et téléphoniques";"B";"M";"-";;;
"75358";"8664";"FR9412008";"B02.05";"Production forestière non intensive (en laissant les arbres morts ou dépérissants sur pied)";"I";"M";"+";;;
"75359";"8664";"FR9412008";"B02.04";"Elimination des arbres morts ou dépérissants";"I";"M";"-";;;
"75360";"8664";"FR9412008";"J01.01";"Incendies";"I";"H";"-";;;
"75361";"8664";"FR9412008";"I02";"Espèces autochtones problématiques";"I";"H";"-";;;
"28228";"4519";"FR5400405";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"I";"M";"-";;;
"28229";"4519";"FR5400405";"A03";"Fauche de prairies";"I";"M";"+";;;
"28230";"4519";"FR5400405";"A04";"Pâturage";"I";"L";"+";;;
"28231";"4519";"FR5400405";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"H";"-";;;
"28232";"4519";"FR5400405";"B03";"Exploitation forestière sans reboisement ou régénération naturelle";"I";"L";"-";;;
"28233";"4519";"FR5400405";"E01.03";"Habitations dispersées";"I";"L";"x";;;
"28234";"4519";"FR5400405";"F03.01";"Chasse";"I";"M";"x";;;
"28235";"4519";"FR5400405";"F04";"Prélèvements sur la flore";"I";"L";"-";;;
"28236";"4519";"FR5400405";"G01.02";"Randonnée, équitation et véhicules non-motorisés";"I";"M";"x";;;
"28237";"4519";"FR5400405";"G01.03";"Véhicules motorisés";"I";"M";"x";;;
"28249";"4521";"FR5400407";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"I";"M";"x";;;
"28250";"4521";"FR5400407";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"O";"M";"-";;;
"28251";"4521";"FR5400407";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"O";"M";"-";;;
"28252";"4521";"FR5400407";"A07";"Utilisation de biocides, d'hormones et de produits chimiques";"I";"M";"x";;;
"28253";"4521";"FR5400407";"A07";"Utilisation de biocides, d'hormones et de produits chimiques";"O";"M";"-";;;
"28254";"4521";"FR5400407";"A08";"Fertilisation";"B";"M";"-";;;
"28255";"4521";"FR5400407";"A10.01";"Elimination des haies et bosquets ou des broussailles";"O";"L";"-";;;
"28256";"4521";"FR5400407";"C01.01";"Extraction de sable et graviers";"O";"M";"x";;;
"49920";"6525";"FR2400528";"E03.04";"Autres décharges";"I";"L";"-";;;
"49921";"6525";"FR2400528";"I01";"Espèces exotiques envahissantes";"I";"H";"-";;;
"49922";"6525";"FR2400528";"K02.03";"Eutrophisation (naturelle)";"I";"M";"-";;;
"49923";"6525";"FR2400528";"K03.01";"Compétition (faune)";"I";"L";"-";;;
"49924";"6525";"FR2400528";"L08";"Inondation (processus naturels)";"I";"M";"+";;;
"49925";"6525";"FR2400528";"I03.02";"Pollution génétique (plantes)";"I";"L";"-";;;
"49926";"6525";"FR2400528";"G01.08";"Autres activités de plein air et de loisirs";"I";"L";"-";;;
"49927";"6525";"FR2400528";"J02";"Changements des conditions hydrauliques induits par l'homme";"I";"M";"-";;;
"49928";"6526";"FR2400534";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"I";"H";"-";;;
"49975";"6531";"FR2400548";"K02.03";"Eutrophisation (naturelle)";"I";"M";"-";;;
"49976";"6531";"FR2400548";"K03.01";"Compétition (faune)";"I";"L";"-";;;
"49977";"6531";"FR2400548";"L08";"Inondation (processus naturels)";"I";"M";"+";;;
"49978";"6531";"FR2400548";"G01.08";"Autres activités de plein air et de loisirs";"I";"M";"-";;;
"49979";"6531";"FR2400548";"J02";"Changements des conditions hydrauliques induits par l'homme";"I";"M";"-";;;
"49980";"6531";"FR2400548";"I01";"Espèces exotiques envahissantes";"I";"M";"-";;;
"49981";"6532";"FR2400552";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"B";"M";"-";;;
"49982";"6532";"FR2400552";"B02";"Gestion des forêts et des plantations & exploitation";"O";"M";"+";;;
"49983";"6532";"FR2400552";"B01";"Plantation forestière en milieu ouvert";"I";"M";"-";;;
"49984";"6532";"FR2400552";"B02";"Gestion des forêts et des plantations & exploitation";"I";"L";"+";;;
"49985";"6533";"FR2400556";"B01";"Plantation forestière en milieu ouvert";"I";"L";"-";;;
"49986";"6533";"FR2400556";"B02";"Gestion des forêts et des plantations & exploitation";"I";"L";"+";;;
"49987";"6533";"FR2400556";"F03.01";"Chasse";"I";"L";"+";;;
"49988";"6533";"FR2400556";"K01.02";"Envasement";"I";"M";"-";;;
"49989";"6533";"FR2400556";"K02.02";"Accumulation de matière organique";"I";"M";"-";;;
"49929";"6526";"FR2400534";"A04";"Pâturage";"I";"H";"+";;;
"49930";"6526";"FR2400534";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"M";"-";;;
"49931";"6526";"FR2400534";"B01";"Plantation forestière en milieu ouvert";"I";"M";"-";;;
"49932";"6526";"FR2400534";"D02.01";"Lignes électriques et téléphoniques";"I";"M";"-";;;
"49933";"6526";"FR2400534";"F01";"Aquaculture (eau douce et marine)";"I";"M";"+";;;
"49934";"6526";"FR2400534";"F03.01";"Chasse";"I";"M";"-";;;
"49935";"6526";"FR2400534";"F03.01";"Chasse";"I";"M";"+";;;
"64256";"7837";"FR7300926";"K04.05";"Dégâts provoqués par les herbivores (gibier inclus)";"I";"L";"-";;;
"74257";"8572";"FR7200672";"B02.02";"Coupe forestière (éclaircie, coupe rase…)";"I";"M";"-";;;
"74258";"8572";"FR7200672";"A03.02";"Fauche non intensive";"I";"H";"+";;;
"74259";"8572";"FR7200672";"A04.02";"Pâturage extensif";"I";"H";"+";;;
"74260";"8572";"FR7200672";"B02.05";"Production forestière non intensive (en laissant les arbres morts ou dépérissants sur pied)";"I";"H";"+";;;
"74261";"8572";"FR7200672";"E01";"Zones urbanisées, habitations";"B";"H";"-";;;
"74262";"8572";"FR7200672";"C02";"Exploration et extraction de pétrole ou de gaz";"B";"L";"-";;;
"74263";"8572";"FR7200672";"B01";"Plantation forestière en milieu ouvert";"I";"H";"-";;;
"74264";"8573";"FR7200678";"B";"Sylviculture et opérations forestières";"I";"L";"x";;;
"74265";"8573";"FR7200678";"D01.01";"Sentiers, chemins, pistes cyclables (y compris route forestière)";"I";"N";"+";;;
"74266";"8573";"FR7200678";"F02.03";"Pêche de loisirs";"I";"L";"-";;;
"74267";"8573";"FR7200678";"F03.01";"Chasse";"I";"N";"x";;;
"74268";"8573";"FR7200678";"G01.03";"Véhicules motorisés";"I";"L";"-";;;
"74269";"8573";"FR7200678";"G05";"Autres intrusions et perturbations humaines";"I";"M";"-";;;
"74270";"8573";"FR7200678";"G05.01";"Piétinement, surfréquentation";"I";"M";"-";;;
"74271";"8573";"FR7200678";"K01.01";"Erosion";"I";"M";"-";;;
"74272";"8573";"FR7200678";"K02.03";"Eutrophisation (naturelle)";"I";"M";"-";;;
"24242";"4190";"FR5200651";"G01.04";"Alpinisme, escalade, spéléologie";"I";"H";"-";;;
"24243";"4190";"FR5200651";"L05";"Eboulements, glissements de terrain";"I";"H";"-";;;
"24244";"4190";"FR5200651";"G05.08";"Fermeture de grottes ou de galeries ";"I";"H";"-";;;
"64272";"7839";"FR7312001";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"H";"-";;;
"64273";"7839";"FR7312001";"A04";"Pâturage";"I";"H";"+";;;
"64274";"7839";"FR7312001";"B";"Sylviculture et opérations forestières";"I";"L";"+";;;
"64275";"7840";"FR7312002";"G05";"Autres intrusions et perturbations humaines";"I";"H";"-";;;
"39057";"5478";"FR7200691";"H01.05";"Pollution diffuse des eaux de surface due aux activités agricoles ou forestières";"B";"M";"-";;;";6150;1096"
"39058";"5478";"FR7200691";"A04.01";"Pâturage intensif";"I";"H";"-";;";6510;6430";
"30223";"4733";"FR3100491";"A04";"Pâturage";"I";"L";"+";;;
"30224";"4733";"FR3100491";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"M";"-";;;
"30225";"4733";"FR3100491";"B";"Sylviculture et opérations forestières";"I";"M";"x";;;
"30226";"4733";"FR3100491";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"I";"L";"x";;;
"30227";"4733";"FR3100491";"B02.03";"Elimination du sous-bois";"I";"M";"+";;;
"30228";"4733";"FR3100491";"B03";"Exploitation forestière sans reboisement ou régénération naturelle";"I";"M";"+";;;
"30229";"4733";"FR3100491";"F03.01";"Chasse";"I";"M";"x";;;
"30230";"4733";"FR3100491";"G01.02";"Randonnée, équitation et véhicules non-motorisés";"I";"L";"x";;;
"30231";"4733";"FR3100491";"H01";"Pollution des eaux de surfaces (limniques et terrestres, marines et saumâtres)";"I";"L";"-";;;
"30232";"4733";"FR3100491";"H04";"Pollution de l'air et polluants atmosphériques";"I";"M";"x";;;
"30233";"4733";"FR3100491";"H05";"Pollution des sols et déchets solides (hors décharges)";"I";"L";"-";;;
"30234";"4733";"FR3100491";"H06.01";"Nuisance et pollution sonores";"I";"M";"-";;;
"30235";"4733";"FR3100491";"J02.01.03";"Comblement des fossés, digues, mares, étangs, marais ou trous";"I";"M";"-";;;
"30236";"4733";"FR3100491";"K01.02";"Envasement";"I";"M";"-";;;
"30237";"4733";"FR3100491";"K02.02";"Accumulation de matière organique";"I";"M";"-";;;
"30238";"4733";"FR3100491";"K02.03";"Eutrophisation (naturelle)";"I";"M";"-";;;
"30318";"4737";"FR3100498";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"O";"M";"-";;;
"30319";"4737";"FR3100498";"A04";"Pâturage";"I";"M";"x";;;
"30320";"4737";"FR3100498";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"M";"-";;;
"49936";"6526";"FR2400534";"I01";"Espèces exotiques envahissantes";"I";"M";"-";;;
"49937";"6526";"FR2400534";"J02.04";"Modifications du régime de mise en eau";"I";"L";"-";;;
"49938";"6526";"FR2400534";"F01.01";"Aquaculture intensive, intensification";"I";"M";"-";;;
"49939";"6526";"FR2400534";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"I";"L";"-";;;
"49940";"6527";"FR2400536";"A04";"Pâturage";"I";"L";"+";;;
"49941";"6527";"FR2400536";"G01.04";"Alpinisme, escalade, spéléologie";"I";"L";"-";;;
"49948";"6529";"FR2400540";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"I";"L";"+";;;
"49949";"6529";"FR2400540";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"I";"M";"+";;;
"49950";"6529";"FR2400540";"A03";"Fauche de prairies";"I";"L";"-";;;
"49951";"6529";"FR2400540";"A03";"Fauche de prairies";"I";"L";"+";;;
"49952";"6529";"FR2400540";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"H";"-";;;
"49953";"6529";"FR2400540";"E03.04";"Autres décharges";"O";"L";"-";;;
"49954";"6529";"FR2400540";"G01.03";"Véhicules motorisés";"I";"M";"-";;;
"49955";"6529";"FR2400540";"G01.03";"Véhicules motorisés";"O";"L";"-";;;
"49956";"6529";"FR2400540";"G05";"Autres intrusions et perturbations humaines";"I";"L";"-";;;
"49957";"6529";"FR2400540";"K02.02";"Accumulation de matière organique";"O";"L";"-";;;
"49958";"6529";"FR2400540";"K02.03";"Eutrophisation (naturelle)";"I";"M";"-";;;
"49959";"6529";"FR2400540";"G05.01";"Piétinement, surfréquentation";"I";"M";"-";;;
"49960";"6529";"FR2400540";"F03.01";"Chasse";"I";"L";"-";;;
"49961";"6530";"FR2400541";"F06";"Autres activités de chasse, de pêche ou de collecte";"I";"M";"+";;;
"49962";"6530";"FR2400541";"B02";"Gestion des forêts et des plantations & exploitation";"I";"M";"+";;;
"49963";"6530";"FR2400541";"D01.02";"Routes, autoroutes";"O";"L";"-";;;
"49964";"6530";"FR2400541";"B02";"Gestion des forêts et des plantations & exploitation";"O";"L";"-";;;
"49965";"6531";"FR2400548";"E01.04";"Autres formes d'habitations";"I";"L";"-";;;
