"PK_HABIT2";"FPK_NATURA";"SITECODE";"HABCODE";"DESCRIPTFR";"COVER"
10935,00;3230,00;"FR4211812";"N09";"Pelouses sèches, Steppes";"1"
10936,00;3230,00;"FR4211812";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"2"
10937,00;3230,00;"FR4211812";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"22"
10938,00;3231,00;"FR4211814";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"2"
10939,00;3231,00;"FR4211814";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"4"
10940,00;3231,00;"FR4211814";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";"3"
10941,00;3231,00;"FR4211814";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"1"
10942,00;3231,00;"FR4211814";"N16";"Forêts caducifoliées";"5"
10943,00;3231,00;"FR4211814";"N17";"Forêts de résineux";"5"
10944,00;3231,00;"FR4211814";"N19";"Forêts mixtes";"50"
10945,00;3231,00;"FR4211814";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"26"
10946,00;3231,00;"FR4211814";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"2"
10947,00;3231,00;"FR4211814";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"2"
11236,00;3272,00;"FR5212013";"N01";"Mer, Bras de Mer";"99"
11237,00;3272,00;"FR5212013";"N05";"Galets, Falaises maritimes, Ilots";"1"
11238,00;3273,00;"FR5212014";"N01";"Mer, Bras de Mer";"99"
11239,00;3273,00;"FR5212014";"N05";"Galets, Falaises maritimes, Ilots";"1"
11240,00;3274,00;"FR5212015";"N01";"Mer, Bras de Mer";"99"
11241,00;3274,00;"FR5212015";"N02";"Rivières et Estuaires soumis à la marée, Vasières et bancs de sable, Lagunes  (incluant les bassins de production de sel)";"1"
11250,00;3278,00;"FR5310054";"N05";"Galets, Falaises maritimes, Ilots";
11251,00;3278,00;"FR5310054";"N01";"Mer, Bras de Mer";
11411,00;3308,00;"FR5412012";"N19";"Forêts mixtes";"5"
11412,00;3308,00;"FR5412012";"N01";"Mer, Bras de Mer";"8"
11413,00;3308,00;"FR5412012";"N17";"Forêts de résineux";"5"
11414,00;3308,00;"FR5412012";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"10"
11415,00;3308,00;"FR5412012";"N02";"Rivières et Estuaires soumis à la marée, Vasières et bancs de sable, Lagunes  (incluant les bassins de production de sel)";"50"
11416,00;3308,00;"FR5412012";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"2"
11417,00;3308,00;"FR5412012";"N04";"Dunes, Plages de sables, Machair";"20"
11713,00;3347,00;"FR7212017";"N01";"Mer, Bras de Mer";"100"
11715,00;3349,00;"FR7212019";"N01";"Mer, Bras de Mer";"100"
11958,00;3385,00;"FR8212011";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"25"
11959,00;3385,00;"FR8212011";"N09";"Pelouses sèches, Steppes";"70"
11960,00;3385,00;"FR8212011";"N16";"Forêts caducifoliées";"5"
12067,00;3399,00;"FR8212025";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"5"
12068,00;3399,00;"FR8212025";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"0"
12069,00;3399,00;"FR8212025";"N11";"Pelouses alpine et sub-alpine";"15"
12070,00;3399,00;"FR8212025";"N19";"Forêts mixtes";"47"
12071,00;3399,00;"FR8212025";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"0"
12072,00;3399,00;"FR8212025";"N09";"Pelouses sèches, Steppes";"5"
12073,00;3399,00;"FR8212025";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";"10"
12074,00;3399,00;"FR8212025";"N16";"Forêts caducifoliées";"18"
12213,00;3415,00;"FR9110076";"N11";"Pelouses alpine et sub-alpine";"10"
12214,00;3415,00;"FR9110076";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"10"
12215,00;3415,00;"FR9110076";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"1"
12216,00;3415,00;"FR9110076";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"12"
12217,00;3415,00;"FR9110076";"N09";"Pelouses sèches, Steppes";"1"
12218,00;3415,00;"FR9110076";"N16";"Forêts caducifoliées";"30"
12219,00;3415,00;"FR9110076";"N17";"Forêts de résineux";"35"
12220,00;3415,00;"FR9110076";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"1"
12438,00;3440,00;"FR9112020";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"7"
12439,00;3440,00;"FR9112020";"N09";"Pelouses sèches, Steppes";"3"
12440,00;3440,00;"FR9112020";"N15";"Autres terres arables";"25"
12441,00;3440,00;"FR9112020";"N16";"Forêts caducifoliées";"3"
12442,00;3440,00;"FR9112020";"N17";"Forêts de résineux";"3"
12443,00;3440,00;"FR9112020";"N18";"Forêts sempervirentes non résineuses";"2"
12444,00;3440,00;"FR9112020";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"5"
12445,00;3440,00;"FR9112020";"N21";"Zones de plantations d'arbres  (incluant les Vergers, Vignes,  Dehesas)";"52"
12483,00;3445,00;"FR9112025";"N02";"Rivières et Estuaires soumis à la marée, Vasières et bancs de sable, Lagunes  (incluant les bassins de production de sel)";"40"
12484,00;3445,00;"FR9112025";"N03";"Marais salants, Prés salés, Steppes salées";"25"
12485,00;3445,00;"FR9112025";"N04";"Dunes, Plages de sables, Machair";"9"
12486,00;3445,00;"FR9112025";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"2"
12487,00;3445,00;"FR9112025";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"15"
12488,00;3445,00;"FR9112025";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";"3"
12489,00;3445,00;"FR9112025";"N16";"Forêts caducifoliées";"1"
12490,00;3445,00;"FR9112025";"N17";"Forêts de résineux";"1"
12491,00;3445,00;"FR9112025";"N18";"Forêts sempervirentes non résineuses";"1"
12492,00;3445,00;"FR9112025";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"3"
12493,00;3446,00;"FR9112026";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"1"
12494,00;3446,00;"FR9112026";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"1"
12495,00;3446,00;"FR9112026";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"30"
12496,00;3446,00;"FR9112026";"N09";"Pelouses sèches, Steppes";"15"
12497,00;3446,00;"FR9112026";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";"1"
12498,00;3446,00;"FR9112026";"N11";"Pelouses alpine et sub-alpine";"1"
12499,00;3446,00;"FR9112026";"N16";"Forêts caducifoliées";"27"
12500,00;3446,00;"FR9112026";"N17";"Forêts de résineux";"20"
12501,00;3446,00;"FR9112026";"N18";"Forêts sempervirentes non résineuses";"3"
12502,00;3446,00;"FR9112026";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"1"
12564,00;3454,00;"FR9112034";"N01";"Mer, Bras de Mer";"100"
12565,00;3455,00;"FR9112035";"N01";"Mer, Bras de Mer";"100"
12920,00;3506,00;"FR9412009";"N01";"Mer, Bras de Mer";"100"
12921,00;3507,00;"FR9412010";"N01";"Mer, Bras de Mer";"100"
13063,00;1776,00;"FR4201810";"N05";"Galets, Falaises maritimes, Ilots";"5"
13064,00;1776,00;"FR4201810";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"13"
13065,00;1776,00;"FR4201810";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"3"
13066,00;1776,00;"FR4201810";"N09";"Pelouses sèches, Steppes";"1"
13067,00;1776,00;"FR4201810";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";"18"
13068,00;1776,00;"FR4201810";"N16";"Forêts caducifoliées";"25"
13069,00;1776,00;"FR4201810";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"2"
13070,00;1776,00;"FR4201810";"N12";"Cultures céréalières extensives   (incluant les cultures en rotation avec une jachère régulière)";"28"
13071,00;1776,00;"FR4201810";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"5"
13113,00;1781,00;"FR4201801";"N16";"Forêts caducifoliées";"55"
13114,00;1781,00;"FR4201801";"N17";"Forêts de résineux";"2"
13115,00;1781,00;"FR4201801";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"1"
13116,00;1781,00;"FR4201801";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"4"
13117,00;1781,00;"FR4201801";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";"6"
13118,00;1781,00;"FR4201801";"N19";"Forêts mixtes";"21"
13119,00;1781,00;"FR4201801";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"8"
13120,00;1781,00;"FR4201801";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"1"
13121,00;1781,00;"FR4201801";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"2"
13122,00;1782,00;"FR4201802";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"25"
13123,00;1782,00;"FR4201802";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";"10"
13124,00;1782,00;"FR4201802";"N11";"Pelouses alpine et sub-alpine";"60"
13125,00;1782,00;"FR4201802";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"3"
13126,00;1782,00;"FR4201802";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"2"
13217,00;1794,00;"FR4202003";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"5"
13218,00;1794,00;"FR4202003";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";"45"
13219,00;1794,00;"FR4202003";"N12";"Cultures céréalières extensives   (incluant les cultures en rotation avec une jachère régulière)";"20"
13220,00;1794,00;"FR4202003";"N14";"Prairies ameliorées";"15"
13221,00;1794,00;"FR4202003";"N15";"Autres terres arables";"5"
13222,00;1794,00;"FR4202003";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"10"
13538,00;1844,00;"FR4100175";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"1"
13539,00;1844,00;"FR4100175";"N19";"Forêts mixtes";"69"
13540,00;1844,00;"FR4100175";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";"5"
13541,00;1844,00;"FR4100175";"N14";"Prairies ameliorées";"5"
13542,00;1844,00;"FR4100175";"N15";"Autres terres arables";"5"
13543,00;1844,00;"FR4100175";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"15"
13544,00;1845,00;"FR4100177";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"5"
13545,00;1845,00;"FR4100177";"N09";"Pelouses sèches, Steppes";"5"
13546,00;1845,00;"FR4100177";"N19";"Forêts mixtes";"82"
13547,00;1845,00;"FR4100177";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"5"
13548,00;1845,00;"FR4100177";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"2"
13549,00;1845,00;"FR4100177";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"1"
13566,00;1849,00;"FR4100194";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"6"
13567,00;1849,00;"FR4100194";"N16";"Forêts caducifoliées";"79"
13568,00;1849,00;"FR4100194";"N17";"Forêts de résineux";"10"
13569,00;1849,00;"FR4100194";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"5"
13648,00;1867,00;"FR3102004";"N01";"Mer, Bras de Mer";"100"
13678,00;1873,00;"FR4100157";"N09";"Pelouses sèches, Steppes";"45"
13679,00;1873,00;"FR4100157";"N14";"Prairies ameliorées";"2"
13680,00;1873,00;"FR4100157";"N16";"Forêts caducifoliées";"35"
13681,00;1873,00;"FR4100157";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"18"
13821,00;1892,00;"FR4100193";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"1"
13822,00;1892,00;"FR4100193";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";"1"
13823,00;1892,00;"FR4100193";"N19";"Forêts mixtes";"92"
13824,00;1892,00;"FR4100193";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"5"
13825,00;1892,00;"FR4100193";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"1"
13893,00;1899,00;"FR4100246";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"80"
13894,00;1899,00;"FR4100246";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"20"
13895,00;1900,00;"FR4100247";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"100"
13924,00;1905,00;"FR4100197";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"1"
13925,00;1905,00;"FR4100197";"N16";"Forêts caducifoliées";"4"
13926,00;1905,00;"FR4100197";"N17";"Forêts de résineux";"38"
13927,00;1905,00;"FR4100197";"N19";"Forêts mixtes";"54"
13928,00;1905,00;"FR4100197";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"3"
13929,00;1906,00;"FR4100198";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"3"
13930,00;1906,00;"FR4100198";"N17";"Forêts de résineux";"10"
13931,00;1906,00;"FR4100198";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"2"
13932,00;1906,00;"FR4100198";"N19";"Forêts mixtes";"74"
13933,00;1906,00;"FR4100198";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"6"
13934,00;1906,00;"FR4100198";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"5"
13935,00;1907,00;"FR4100199";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"3"
13936,00;1907,00;"FR4100199";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"1"
13937,00;1907,00;"FR4100199";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";"2"
13938,00;1907,00;"FR4100199";"N11";"Pelouses alpine et sub-alpine";"1"
13939,00;1907,00;"FR4100199";"N16";"Forêts caducifoliées";"1"
13940,00;1907,00;"FR4100199";"N19";"Forêts mixtes";"84"
13941,00;1907,00;"FR4100199";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"8"
13942,00;1908,00;"FR4100201";"N19";"Forêts mixtes";"28"
13943,00;1908,00;"FR4100201";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"1"
13944,00;1908,00;"FR4100201";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"1"
13945,00;1908,00;"FR4100201";"N16";"Forêts caducifoliées";"5"
13946,00;1908,00;"FR4100201";"N17";"Forêts de résineux";"60"
13947,00;1908,00;"FR4100201";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"3"
13948,00;1908,00;"FR4100201";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"1"
13949,00;1908,00;"FR4100201";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"1"
13950,00;1909,00;"FR4100202";"N19";"Forêts mixtes";"71"
13951,00;1909,00;"FR4100202";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"9"
13952,00;1909,00;"FR4100202";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"4"
13953,00;1909,00;"FR4100202";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"16"
13954,00;1910,00;"FR4100203";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"2"
13955,00;1910,00;"FR4100203";"N16";"Forêts caducifoliées";"5"
13956,00;1910,00;"FR4100203";"N11";"Pelouses alpine et sub-alpine";"37"
13957,00;1910,00;"FR4100203";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"35"
13958,00;1910,00;"FR4100203";"N17";"Forêts de résineux";"1"
13959,00;1910,00;"FR4100203";"N14";"Prairies ameliorées";"10"
13960,00;1910,00;"FR4100203";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"5"
13961,00;1910,00;"FR4100203";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"5"
13962,00;1911,00;"FR4100204";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"32"
13963,00;1911,00;"FR4100204";"N11";"Pelouses alpine et sub-alpine";"47"
13964,00;1911,00;"FR4100204";"N19";"Forêts mixtes";"8"
13965,00;1911,00;"FR4100204";"N16";"Forêts caducifoliées";"8"
13966,00;1911,00;"FR4100204";"N17";"Forêts de résineux";"3"
13967,00;1911,00;"FR4100204";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"2"
13968,00;1912,00;"FR4100205";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";
13969,00;1912,00;"FR4100205";"N16";"Forêts caducifoliées";
13970,00;1912,00;"FR4100205";"N17";"Forêts de résineux";
13971,00;1912,00;"FR4100205";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"100"
13977,00;1914,00;"FR4100207";"N16";"Forêts caducifoliées";"35"
13978,00;1914,00;"FR4100207";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"5"
13979,00;1914,00;"FR4100207";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"35"
13980,00;1914,00;"FR4100207";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"25"
13987,00;1916,00;"FR4100209";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"23"
13988,00;1916,00;"FR4100209";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";"5"
13989,00;1916,00;"FR4100209";"N19";"Forêts mixtes";"47"
13990,00;1916,00;"FR4100209";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"5"
13991,00;1916,00;"FR4100209";"N17";"Forêts de résineux";"20"
13992,00;1917,00;"FR4100210";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"60"
13993,00;1917,00;"FR4100210";"N19";"Forêts mixtes";"40"
13994,00;1918,00;"FR4100211";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"100"
14388,00;1970,00;"FR7200670";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"23"
14389,00;1970,00;"FR7200670";"N09";"Pelouses sèches, Steppes";"65"
14390,00;1970,00;"FR7200670";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"2"
14391,00;1970,00;"FR7200670";"N16";"Forêts caducifoliées";"10"
14622,00;2013,00;"FR5202010";"N01";"Mer, Bras de Mer";"100"
14623,00;2014,00;"FR5202011";"N01";"Mer, Bras de Mer";"80"
14624,00;2014,00;"FR5202011";"N02";"Rivières et Estuaires soumis à la marée, Vasières et bancs de sable, Lagunes  (incluant les bassins de production de sel)";"20"
14625,00;2015,00;"FR5202012";"N01";"Mer, Bras de Mer";"33"
14626,00;2015,00;"FR5202012";"N02";"Rivières et Estuaires soumis à la marée, Vasières et bancs de sable, Lagunes  (incluant les bassins de production de sel)";"66"
14627,00;2015,00;"FR5202012";"N05";"Galets, Falaises maritimes, Ilots";"1"
14628,00;2016,00;"FR5202013";"N01";"Mer, Bras de Mer";"100"
14841,00;2047,00;"FR5200659";"N01";"Mer, Bras de Mer";"5"
14842,00;2047,00;"FR5200659";"N03";"Marais salants, Prés salés, Steppes salées";"10"
14843,00;2047,00;"FR5200659";"N04";"Dunes, Plages de sables, Machair";"5"
14844,00;2047,00;"FR5200659";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"5"
14845,00;2047,00;"FR5200659";"N07";"Marais (vegetation de ceinture), Bas-marais, Tourbières,";"5"
14846,00;2047,00;"FR5200659";"N09";"Pelouses sèches, Steppes";"3"
14847,00;2047,00;"FR5200659";"N10";"Prairies semi-naturelles humides, Prairies mésophiles améliorées";"35"
14848,00;2047,00;"FR5200659";"N17";"Forêts de résineux";"5"
14849,00;2047,00;"FR5200659";"N15";"Autres terres arables";"5"
14850,00;2047,00;"FR5200659";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"7"
14851,00;2047,00;"FR5200659";"N02";"Rivières et Estuaires soumis à la marée, Vasières et bancs de sable, Lagunes  (incluant les bassins de production de sel)";"15"
15374,00;2137,00;"FR2100344";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"25"
15375,00;2137,00;"FR2100344";"N16";"Forêts caducifoliées";"75"
15556,00;2173,00;"FR2200392";"N16";"Forêts caducifoliées";"97"
15557,00;2173,00;"FR2200392";"N20";"Forêt artificielle en monoculture (ex: Plantations de peupliers ou d'Arbres exotiques)";"3"
15596,00;2181,00;"FR2200387";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"5"
15597,00;2181,00;"FR2200387";"N16";"Forêts caducifoliées";"95"
16889,00;2441,00;"FR9101388";"N17";"Forêts de résineux";"17"
16890,00;2441,00;"FR9101388";"N06";"Eaux douces intérieures (Eaux stagnantes, Eaux courantes)";"2"
16891,00;2441,00;"FR9101388";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"23"
16892,00;2441,00;"FR9101388";"N09";"Pelouses sèches, Steppes";"15"
16893,00;2441,00;"FR9101388";"N15";"Autres terres arables";"7"
16894,00;2441,00;"FR9101388";"N16";"Forêts caducifoliées";"15"
16895,00;2441,00;"FR9101388";"N19";"Forêts mixtes";"10"
16896,00;2441,00;"FR9101388";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"10"
16897,00;2441,00;"FR9101388";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"1"
17111,00;2478,00;"FR9101382";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"12"
17112,00;2478,00;"FR9101382";"N09";"Pelouses sèches, Steppes";"70"
17113,00;2478,00;"FR9101382";"N19";"Forêts mixtes";"8"
17114,00;2478,00;"FR9101382";"N17";"Forêts de résineux";"5"
17115,00;2478,00;"FR9101382";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"3"
17116,00;2478,00;"FR9101382";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"2"
17117,00;2479,00;"FR9101383";"N08";"Landes, Broussailles, Recrus, Maquis et Garrigues, Phrygana";"7"
17118,00;2479,00;"FR9101383";"N09";"Pelouses sèches, Steppes";"80"
17119,00;2479,00;"FR9101383";"N16";"Forêts caducifoliées";"1"
17120,00;2479,00;"FR9101383";"N14";"Prairies ameliorées";"4"
17121,00;2479,00;"FR9101383";"N17";"Forêts de résineux";"2"
17122,00;2479,00;"FR9101383";"N22";"Rochers intérieurs, Eboulis rocheux,  Dunes intérieures, Neige ou glace permanente";"1"
17123,00;2479,00;"FR9101383";"N23";"Autres terres  (incluant les Zones urbanisées et industrielles, Routes, Décharges, Mines)";"5"
17185,00;2489,00;"FR9101475";"N16";"Forêts caducifoliées";"15"
