"PK_MAP";"FPK_NATURA";"SITECODE";"SCALE";"SOURCE";"ANNEE_REF";"DETAILS"
"1247";"1873";"FR4100157";"25000";"IGN";;
"1261";"1844";"FR4100175";"25000";"IGN";;"DIREN Mapinfo Autorisation 70 6017"
"1262";"1845";"FR4100177";"25000";"IGN";;
"1276";"1892";"FR4100193";"25000";"IGN";;
"1277";"1849";"FR4100194";"25000";"IGN";;"Diren : Mapinfo Autorisation  70 6017"
"1279";"1905";"FR4100197";"25000";"IGN";;
"1280";"1906";"FR4100198";"25000";"IGN";;
"1282";"1908";"FR4100201";"25000";"IGN";;
"1283";"1909";"FR4100202";"25000";"IGN";;
"1286";"1912";"FR4100205";"25000";"IGN";;
"1288";"1914";"FR4100207";"25000";"IGN";;
"1290";"1916";"FR4100209";"25000";"IGN";;
"1291";"1917";"FR4100210";"25000";"IGN";;
"1292";"1918";"FR4100211";"25000";"IGN";;
"1316";"1899";"FR4100246";"25000";"IGN";;
"1317";"1900";"FR4100247";"25000";"IGN";;
"1331";"3217";"FR4112007";"25000";"IGN";;
"1334";"3220";"FR4112010";"25000";"IGN";;
"1349";"1776";"FR4201810";"25000";"IGN";;
"1353";"3205";"FR3112006";"43000";"SHOM";;
"1411";"2478";"FR9101382";"25000";"IGN";;"Périmètre digitalisé (Scan 25 IGN)"
"1412";"2479";"FR9101383";"25000";"IGN";;"Périmètre digitalisé (IGN Scan 25)"
"1456";"2513";"FR9101461";"25000";"IGN";;
"1465";"2489";"FR9101475";"100000";"IGN";;
"1466";"2501";"FR9101476";"100000";"IGN";;
"1472";"2496";"FR9101487";"25000";"IGN";;
"1491";"3415";"FR9110076";"25000";"IGN";;"Périmètre digitalisé (Scan 25 IGN)"
"1516";"3440";"FR9112020";"25000";"IGN";;"Périmètre digitalisé (Scan 25 IGN)"
"1521";"3445";"FR9112025";"25000";"IGN";;"Périmètre digitalisé (Scan25 IGN)"
"1522";"3446";"FR9112026";"25000";"IGN";;"périmètre digitalisé (IGN Scan25)"
"1529";"3454";"FR9112034";"50000";"SHOM";;
"1530";"3455";"FR9112035";"50000";"SHOM";;
"1717";"2667";"FR9402013";"50300";"SHOM";;"SHOM contrat n°39/2008

Histolit SHOM/IGN (v1.0, 12/2007)"
"1718";"2668";"FR9402014";"51000";"SHOM";;"SHOM contrat n°39/2008

Histolit SHOM/IGN (v1.0, 12/2007)"
"1719";"2669";"FR9402015";"50000";"SHOM";;"SHOM contrat n°39/2008

Histolit SHOM/IGN (v1.0, 12/2007)"
"1720";"2670";"FR9402016";"100000";"SHOM";;"SHOM contrat n°39/2008

Histolit SHOM/IGN (v1.0, 12/2007)"
"1722";"3099";"FR9402018";"50000";"SHOM";;"SHOM contrat n°39/2008

Histolit SHOM/IGN (v1.0, 12/2007)"
"1742";"3506";"FR9412009";"50300";"SHOM";;"SHOM contrat n°39/2008

Histolit SHOM/IGN (v1.0, 12/2007)"
"1743";"3507";"FR9412010";"50000";"SHOM";;"SHOM contrat n°39/2008

Histolit SHOM/IGN (v1.0, 12/2007)"
"1745";"1867";"FR3102004";"75000";"SHOM";;
"1749";"3349";"FR7212019";"150000";"SHOM";;
"2042";"3807";"FR7401142";"25000";"IGN";;
"2049";"3814";"FR9101372";"25000";"IGN";;"RGF 93"
"2052";"3817";"FR9101464";"25000";"IGN";;"RGF 93"
"2066";"3831";"FR5202002";"25000";"IGN";;
"2090";"3855";"FR7300891";"25000";"IGN";;
"2130";"3895";"FR7300923";"100000";"IGN";;
"2152";"3917";"FR4301318";"25000";"IGN";;
"2153";"3918";"FR8301052";"25000";"IGN";;
"2161";"3926";"FR7300953";"25000";"IGN";;
"2210";"3984";"FR9302001";"25000";"SCAN25";;"IGN SCAN25. Surface 507 ha Lamb2 convertie en 506 ha Lamb93 (dec 2012)."
"2221";"3995";"FR7300835";"25000";"IGN";;
"2222";"3996";"FR7300840";"25000";"IGN";;
"2241";"4015";"FR7300839";"25000";"IGN";;
"2277";"4051";"FR7300838";"25000";"IGN";;
"2310";"4084";"FR4301282";"10000";"BDORTHO";;
"2343";"4117";"FR1100805";"25000";"IGN";;"Logiciel MAPINFO

Numérisation sur fond de plan RASTER SCAN25 IGN 1996"
"2368";"4142";"FR2310045";"75000";"SHOM";;
"2397";"4172";"FR4312022";"10000";"BDORTHO";;
"2398";"4173";"FR4312023";"10000";"BDORTHO";;
"2399";"4174";"FR4312024";"25000";"SCAN25";;
"2400";"4175";"FR4312025";"25000";"SCAN25";;
"2404";"4179";"FR5200633";"50000";"IGN";;
"2415";"4190";"FR5200651";"50000";"IGN";;
"2418";"4193";"FR5202001";"25000";"IGN";;
"2429";"4204";"FR8201648";"5000";"SCAN25";;
"2431";"4206";"FR8201666";"100000";"IGN";;
"2436";"4211";"FR8201697";"5000";"CADASTRE";;"Cartographie à partir du cadastre des communes de Soyans, Saoû et Francillon-sur-Roubion (Drôme)"
"2438";"4213";"FR8301014";"25000";"IGN";;
"2482";"4256";"FR2200349";"25000";"IGN";;"MAP INFO"
"2485";"4259";"FR2200369";"100000";"IGN";;
"2486";"4260";"FR2200371";"100000";"IGN";;
"2488";"4262";"FR2200376";"25000";"IGN";;
"2490";"4264";"FR2200395";"25000";"IGN";;"Map Info"
"2568";"4342";"FR7200800";"25000";"IGN";;
"2575";"4349";"FR8201690";"5000";"CADASTRE";;"Cartographie à partir du cadastre des 5 communes concernées"
"2577";"4351";"FR8201760";"25000";"IGN";;
"2582";"4356";"FR8301025";"25000";"IGN";;
"2585";"4359";"FR8301036";"25000";"IGN";;
"2587";"4361";"FR8301048";"25000";"IGN";;"Oui - Voir CD-Rom"
"2588";"4362";"FR8301056";"25000";"IGN";;
"2591";"4365";"FR8301069";"25000";"IGN";;
"2599";"4373";"FR8301087";"25000";"IGN";;
"2601";"4375";"FR8302007";"25000";"IGN";;
"2602";"4376";"FR8302008";"25000";"IGN";;
"2607";"4381";"FR9101405";"25000";"IGN";;"Périmètre numérisé au 1/25000 (IGN Scan 25)"
"2618";"4392";"FR9301996";"25000";"IGN";;"Trait de cote SHOM/IGN (HISTOLITT v1.0, 2007). MAJ 2014.03 : conversion surf 8959 ha Lamb93 (au lieu de 8978 Lamb2e)."
"2620";"4394";"FR9301998";"25000";"IGN";;"Trait de cote SHOM/IGN (HISTOLITT v1.0, 2007). MAJ 2014.03 : conversion surf 1755 ha Lamb93 (au lieu de 1759 Lamb2e)."
"2621";"4395";"FR9301999";"50000";"SHOM";;"Périmètre numérisé au 1/25000 (IGN SCAN25). Trait de cote SHOM/IGN (HISTOLITT v1.0, 2007). MAJ 20140310 : conversion surface 18887 ha Lamb93 (au lieu de 18928 ha Lamb2)."
"2626";"4400";"FR2100251";"25000";"IGN";;
"2628";"4402";"FR2100261";"25000";"IGN";;
"2647";"4421";"FR2102001";"25000";"AUTRE";;
"2649";"4423";"FR2102003";"25000";"AUTRE";;
"2650";"4424";"FR2200350";"25000";"IGN";;
"2653";"4427";"FR2200373";"50000";"IGN";;"Agrandie au 50.000ème."
"2654";"4428";"FR2200379";"25000";"IGN";;
"2658";"4432";"FR2200391";"25000";"IGN";;
"2672";"4446";"FR2502020";"50000";"SHOM";;
"2691";"4465";"FR2601008";"25000";"IGN";;
"2704";"4478";"FR4301281";"10000";"BDORTHO";;
"2708";"4482";"FR4301290";"10000";"BDORTHO";;
"2716";"4490";"FR4301310";"25000";"IGN";;
"2718";"4492";"FR4301315";"25000";"IGN";;
"2721";"4495";"FR4301319";"50000";"IGN";;
"2722";"4496";"FR4301320";"50000";"IGN";;
"2726";"4500";"FR4301330";"10000";"BDORTHO";;
"2727";"4501";"FR4301331";"100000";"BDORTHO";;
"2732";"4506";"FR4301344";"100000";"AUTRE";;
"2735";"4509";"FR4301350";"10000";"BDORTHO";;
"2745";"4519";"FR5400405";"25000";"IGN";;"Oui : périmètre. tab (format Map Info 6.5)"
"2747";"4521";"FR5400407";"25000";"IGN";;
"2750";"4524";"FR5400411";"25000";"IGN";;
"2753";"4527";"FR5400420";"25000";"IGN";;
"2762";"4536";"FR5400459";"100000";"IGN";;
"2766";"4540";"FR5402011";"25000";"IGN";;
"2807";"4581";"FR8201729";"25000";"IGN";;
"2809";"4583";"FR8201736";"25000";"IGN";;"Calage sur BD Topo en limites régionale et communales (septembre 2013 et avril 2014)."
"2810";"4584";"FR8201738";"25000";"IGN";;
"2811";"4585";"FR8201741";"25000";"IGN";;
"2814";"4588";"FR8201745";"25000";"SCAN25";;"Suppression de petits débordements sur 3 communes pour un total de 4,87 ha (août 2014)."
"2815";"4589";"FR8201749";"5000";"CADASTRE";;"Carte de la DDT Isère ajustée sur le cadastre ; limites de la réserve corrigées."
"2818";"4592";"FR8202004";"25000";"IGN";;
"2819";"4593";"FR8202006";"25000";"SCAN25";;
"2820";"4594";"FR8301019";"25000";"IGN";;"Oui - SIG DIREN Auvergne"
"2823";"4597";"FR8301039";"25000";"IGN";;
"2825";"4599";"FR8301051";"25000";"IGN";;
"2827";"4601";"FR8301060";"25000";"IGN";;
"2832";"4606";"FR8301081";"25000";"IGN";;
"2837";"4611";"FR8302002";"25000";"IGN";;
"2840";"4614";"FR9101361";"100000";"IGN";;"Surface en projection RGF Lambert 93"
"2841";"4615";"FR9101362";"25000";"IGN";;"Surface du site en projection RGF 93"
"2846";"4620";"FR9101424";"25000";"IGN";;"Surface en projection RGF Lambert 93"
"2848";"4622";"FR9101430";"25000";"IGN";;"Surface en projection RGF Lambert 93 (calcul méthode cartésienne)"
"2851";"4625";"FR9101463";"100000";"IGN";;"Surface en projection RGF Lambert 93 (calcul méthode Cartésienne)"
"2852";"4626";"FR9101473";"25000";"IGN";;"Péérimètre digitalisé (Scan25 IGN)"
"2853";"4627";"FR9101483";"25000";"IGN";;"périmètre digitalisé (Scan25 IGN)

RGF 93"
"2882";"4656";"FR9301564";"25000";"SCAN25";;"Périmètre initial SCAN100 (surf 2093 ha Lamb2). Recalé sur SCAN25 sans reconsultation, en Fev 2013 (surf 2090 ha Labm93)."
"2915";"4695";"FR2100248";"25000";"IGN";;
"2917";"4697";"FR2100260";"25000";"IGN";;
"2918";"4698";"FR2100263";"25000";"IGN";;
"2919";"4699";"FR2100278";"25000";"IGN";;
"2923";"4703";"FR2100310";"25000";"IGN";;
"2929";"4709";"FR2200348";"25000";"IGN";;
"2948";"4728";"FR3100483";"25000";"IGN";;
"2949";"4729";"FR3100485";"25000";"IGN";;
"2951";"4731";"FR3100488";"25000";"IGN";;
"2952";"4732";"FR3100489";"25000";"IGN";;
"2953";"4733";"FR3100491";"25000";"IGN";;
"2955";"4735";"FR3100494";"25000";"IGN";;
"2957";"4737";"FR3100498";"25000";"IGN";;
"2959";"4739";"FR3100504";"25000";"IGN";;
"2960";"4740";"FR3100507";"25000";"IGN";;
"2961";"4741";"FR3100512";"25000";"IGN";;
"2962";"4742";"FR3102001";"25000";"IGN";;
"2963";"4743";"FR3102003";"74300";"SHOM";;
"2969";"4749";"FR4301316";"25000";"SCAN25";;
"2972";"4752";"FR4301328";"10000";"BDORTHO";;
"2973";"4753";"FR4301332";"50000";"IGN";;
"2975";"4755";"FR4301348";"25000";"SCAN25";;
"2982";"4762";"FR5200634";"50000";"IGN";;
"2983";"4763";"FR5200635";"50000";"IGN";;
"2984";"4764";"FR5200636";"50000";"IGN";;
"2992";"4772";"FR5400469";"100000";"IGN";;
"3002";"4782";"FR7200729";"25000";"IGN";;
"3029";"4809";"FR8201642";"10000";"BDORTHO";"2009";
"3045";"4825";"FR8301033";"25000";"IGN";;
"3059";"4839";"FR9101451";"25000";"IGN";;"Surface en projection RGF Lambert 93, calculée avec la méthode cartésienne"
"3060";"4840";"FR9101465";"25000";"IGN";;"Surface en projection RGF Lambert 93 (Calcul Méthode Cartésienne)"
"3062";"4842";"FR9101493";"25000";"IGN";;"Surface en RGF Lambert 93 (Calcul Méthode Cartésienne)"
"3063";"4843";"FR9102001";"25000";"IGN";;"Surface en RGF Lambert 93 (Calcul Méthode Cartésienne)"
"3066";"4846";"FR9110105";"25000";"IGN";;"Périmètre digitalisé (Scan 25 IGN)"
"3070";"4850";"FR9301550";"25000";"SCAN25";;"Perimetre initial tracé sur IGN SCAN100, recalé en 2010 sur SCAN25 sans reconsultation réglementaire. Surface calculée avec MapInfo v7.0, mode cartesien, projection Lambert93."
"3076";"4856";"FR9301997";"25000";"IGN";;"Périmètre numérisé au 1/25000 (IGN SCAN25). Trait de cote SHOM/IGN (HISTOLITT v1.0, 2007). MAJ 2014.03 : conversion surf 12379 ha Lamb93 (au lieu de 12408 Lamb2e)."
"3088";"4868";"FR2100287";"25000";"IGN";;
"3093";"4873";"FR2200352";"25000";"IGN";;"Agrandie."
"3094";"4874";"FR2200353";"25000";"IGN";;
"3095";"4875";"FR2212003";"25000";"IGN";;
"3110";"4890";"FR2600972";"25000";"IGN";;"Logiciel MAPINFO. Numérisation sur le fond de plans raster SCAN25 IGN 1996."
"3114";"4894";"FR2600976";"25000";"IGN";;"Logiciel MAPINFO. Numérisation sur le fond de plans raster SCAN25 IGN 1996."
"3115";"4895";"FR2600979";"25000";"IGN";;"Logiciel MAPINFO.

Numérisation sur le fond de plans raster SCAN25 IGN 1996."
"3116";"4896";"FR2600980";"25000";"IGN";;
"3117";"4897";"FR2600981";"25000";"IGN";;"Logiciel MAPINFO. Numérisation sur le fond de plans raster SCAN25 IGN 1996."
"3127";"4907";"FR2600994";"25000";"IGN";;
"3144";"4925";"FR3100484";"25000";"IGN";;
"3146";"4927";"FR3100492";"25000";"IGN";;
"3147";"4928";"FR3100499";"25000";"IGN";;
"3150";"4931";"FR4302001";"25000";"IGN";;
"3172";"4953";"FR8201682";"25000";"SCAN25";;
"3173";"4954";"FR8201692";"5000";"BDORTHO";;"Fonds utilisés : BD Ortho (2008), Cadastre et Scan 25. Saisie au 5000ème."
"3174";"4955";"FR8201726";"5000";"CADASTRE";;"Périmètre calé sur les limites communales de la BD Topo (par la DREAL le 13/08/2012). Petite anomalie (en ""doigt de gant"") corrigée en avril 2015 pour prise de l'AM (sans modification de surface)."
"3525";"5327";"FR2100264";"25000";"IGN";;"False"
"3529";"5331";"FR2100281";"25000";"IGN";;
"3536";"5338";"FR2200382";"25000";"SCAN25";;
"3553";"5355";"FR4301323";"25000";"IGN";;
"3562";"5364";"FR7200676";"25000";"IGN";;
"3565";"5367";"FR7200694";"25000";"IGN";;
"3568";"5370";"FR7200717";"25000";"IGN";;
"3572";"5374";"FR7200732";"25000";"IGN";;
"3578";"5380";"FR7200801";"25000";"IGN";;
"3579";"5381";"FR7200802";"50000";"IGN";;
"3581";"5383";"FR7200810";"25000";"IGN";;
"3582";"5384";"FR7300852";"25000";"IGN";;
"3593";"5395";"FR8201772";"25000";"IGN";;
"3607";"5411";"FR8302035";"25000";"CADASTRE";;
"3608";"5414";"FR8302041";"25000";"IGN";;
"3609";"5415";"FR9101363";"100000";"IGN";;"Surface en RGF Lambert 93 - méthode cartésienne"
"3611";"5417";"FR9101367";"100000";"IGN";;"Surface en projection RGF Lambert 93. Méthode de calcul Cartésienne"
"3614";"5420";"FR9101371";"100000";"IGN";;"Surface en RGF Lambert 93 - Méthode de calcul Cartésienne"
"3615";"5421";"FR9101378";"25000";"IGN";;"Périmètre digitalisé (Scan25 IGN)

Surface en projection Lambert RGF 93"
"3618";"5424";"FR9101384";"100000";"IGN";;"Surface en RGF Lambert 93 - Méthode Cartésienne"
"3626";"5432";"FR9101468";"100000";"IGN";;"Surface en RGF Lambert 93 - Méthode cartésienne"
"3628";"5434";"FR9101490";"250000";"SCAN25";"2005";"Périmètre digitalisé au 1/25000ème par le CEN LR en 2005. Egalement ajustment sur des limites topogrpahique physiques (route...) - En projection RGF Lambert 93 - Méthode Cartésienne"
"3630";"5436";"FR9102007";"2000";"AUTRE";;"Ajustement sur les limites communales.

Surface en projection RGF Lambert 93 (méthode de calcul cartésienne)"
"3652";"5458";"FR2100282";"25000";"IGN";;
"3653";"5459";"FR2200377";"25000";"IGN";;
"3657";"5463";"FR2600963";"25000";"IGN";;"Logiciel MAPINFO. Numérisation sur le fond de plans raster SCAN25 IGN 1996."
"3667";"5473";"FR7200675";"25000";"IGN";;
"3672";"5478";"FR7200691";"100000";"IGN";;
"3674";"5480";"FR7200696";"100000";"IGN";;
"3678";"5484";"FR7200725";"100000";"IGN";;
"3696";"5502";"FR8201658";"10000";"BDORTHO";"2011";
"3698";"5504";"FR8201683";"25000";"IGN";;
"3699";"5505";"FR8201684";"25000";"IGN";;
"3702";"5508";"FR8201740";"100000";"IGN";;
"3705";"5511";"FR8212028";"25000";"IGN";;
"3711";"5517";"FR9101364";"100000";"IGN";;"Surface en RGF Lambert 93 - Méthode Cartésienne"
"3718";"5524";"FR9101416";"25000";"AUTRE";;"Surface en projection RGF Lambert 93 (Calcul méthode Cartésienne)

Géométrie calée sur la BD Parcellaire"
"3728";"5534";"FR9102012";"25000";"SHOM";;"- Surface en RGF Lambert 93 (méthode cartésienne)

- Calage sur le TCHv2 (au 20/04/2016)"
"3738";"5544";"FR9400568";"25000";"SCAN25";;
"3739";"5545";"FR9400569";"25000";"SCAN25";;
"3744";"5550";"FR9400576";"25000";"SCAN25";;
"3747";"5553";"FR9400579";"25000";"SCAN25";;
"3749";"5555";"FR9400581";"25000";"SCAN25";;
"3753";"5559";"FR9400585";"25000";"IGN";;
"3757";"5563";"FR9400592";"25000";"SCAN25";;
"3764";"5570";"FR9400602";"25000";"SCAN25";;
"3765";"5571";"FR9400603";"25000";"SCAN25";;
"3766";"5572";"FR9400604";"25000";"SCAN25";;
"3769";"5575";"FR9400608";"25000";"SCAN25";;
"3918";"5725";"FR2200372";"25000";"IGN";;
"3919";"5726";"FR2200386";"25000";"IGN";;"1:25000"
"3920";"5727";"FR2200398";"50000";"IGN";;"MAP INFO

Agrandie au 50.000ème."
"3921";"5728";"FR2200401";"25000";"IGN";;
"3926";"5733";"FR3100505";"25000";"IGN";;
"3927";"5734";"FR3100506";"25000";"IGN";;
"3940";"5747";"FR5400435";"25000";"IGN";;
"3946";"5753";"FR5400448";"25000";"IGN";;
"3948";"5755";"FR5400452";"25000";"IGN";;
"3950";"5757";"FR5400463";"100000";"IGN";;
"3951";"5758";"FR5400464";"100000";"IGN";;
"3952";"5759";"FR5400467";"100000";"IGN";;
"3954";"5761";"FR5402004";"25000";"IGN";;
"3958";"5765";"FR7200698";"25000";"IGN";;
"3971";"5778";"FR7300922";"100000";"IGN";;
"3972";"5779";"FR7300931";"100000";"IGN";;
"3984";"5791";"FR7401119";"25000";"IGN";;
"3985";"5792";"FR7401120";"100000";"IGN";;
"3986";"5793";"FR7401121";"100000";"IGN";;
"3989";"5796";"FR7401124";"25000";"IGN";;
"4010";"5817";"FR8302003";"25000";"IGN";;
"4012";"5819";"FR8302017";"25000";"IGN";;
"4013";"5820";"FR8302018";"25000";"IGN";;
"4018";"5825";"FR9102010";"25000";"IGN";;"Périmètre digitalisé (Scan 25 IGN)

RGF 93"
"4041";"5848";"FR9301552";"25000";"SCAN25";;"Périmètre numérisé initialement sur SCAN100. Recalé sur SCAN25 sans reconsultation + conversion surface en Lamb93 (juin 2013)."
"4066";"5873";"FR9301617";"25000";"SCAN25";;"MAJ 2014.08 : conversion surf site Lamb2 (1284 ha) en Lamb93 (1281 ha)."
"4075";"5882";"FR9301995";"25000";"IGN";;"Trait de cote SHOM/IGN (HISTOLITT v1.0, 2007). MAJ 2014.03 : conversion surf 2086 ha Lamb93 (au lieu de 2090 Lamb2e). MAJ 2015.11 : retrait de 161 ha suite au recalage sur frontiere France/Italie en mer officialisée en mars 2015."
"4086";"5893";"FR9400600";"25000";"SCAN25";;
"4088";"5895";"FR9400611";"100000";"IGN";;
"4092";"5899";"FR9400615";"25000";"IGN";;
"4094";"5901";"FR9400617";"25000";"IGN";;
"4098";"5905";"FR9402002";"25000";"IGN";;
"4099";"5906";"FR9402003";"25000";"IGN";;
"4101";"5908";"FR9402005";"25000";"IGN";;
"4102";"5909";"FR9402006";"25000";"IGN";;
"4103";"5910";"FR9402007";"25000";"IGN";;
"4104";"5911";"FR9402008";"25000";"SCAN25";;
"4273";"6080";"FR1102013";"25000";"IGN";;"Logiciel MAPINFO.

Numérisation sur fond de plan Raster SCAN25 IGN 2002"
"4275";"6082";"FR1102015";"25000";"IGN";;"Logiciel MAPINFO.

Numérisation sur fond de plan Raster SCAN25 IGN 2002"
"4277";"6084";"FR2100246";"25000";"IGN";;
"4280";"6087";"FR2100265";"25000";"IGN";;
"4281";"6088";"FR2100270";"25000";"IGN";;
"4282";"6089";"FR2100273";"25000";"IGN";;
"4283";"6090";"FR2100275";"25000";"IGN";;
"4291";"6098";"FR2100301";"25000";"IGN";;
"4296";"6103";"FR2100324";"25000";"IGN";;
"4297";"6104";"FR2100325";"25000";"IGN";;
"4299";"6106";"FR2100337";"25000";"IGN";;
"4301";"6108";"FR2100341";"25000";"IGN";;
"4305";"6112";"FR2200354";"30000";"IGN";;
"4306";"6113";"FR2200355";"40000";"SCAN25";;
"4307";"6114";"FR2200356";"20000";"SCAN25";;
"4311";"6118";"FR2200363";"35000";"SCAN25";;
"4326";"6133";"FR2300137";"100000";"IGN";;
"4343";"6150";"FR2400516";"25000";"IGN";;
"4344";"6151";"FR2400517";"25000";"IGN";;
"4351";"6158";"FR2400525";"25000";"IGN";;
"4352";"6159";"FR2400526";"50000";"IGN";;
"4353";"6160";"FR2400527";"25000";"IGN";;
"4354";"6161";"FR2400530";"25000";"IGN";;
"4355";"6162";"FR2400531";"25000";"IGN";;
"4356";"6163";"FR2400533";"25000";"IGN";;
"4358";"6165";"FR2400535";"25000";"IGN";;
"4363";"6170";"FR2400550";"25000";"IGN";;
"4364";"6171";"FR2400551";"25000";"IGN";;
"4366";"6173";"FR2400553";"25000";"IGN";;
"4369";"6176";"FR2400559";"25000";"IGN";;
"4374";"6181";"FR2402002";"25000";"IGN";;
"4375";"6182";"FR2402003";"25000";"IGN";;
"4376";"6183";"FR2402004";"25000";"IGN";;
"4377";"6184";"FR2402005";"25000";"IGN";;
"4378";"6185";"FR2402006";"25000";"IGN";;
"4382";"6189";"FR2500079";"50000";"IGN";;
"4408";"6215";"FR2600959";"25000";"IGN";;
"4411";"6218";"FR2601013";"250000";"IGN";;
"4412";"6219";"FR2601014";"25000";"AUTRE";;
"4415";"6223";"FR3100474";"25000";"IGN";;
"4416";"6224";"FR3100475";"25000";"IGN";;"cartes SIG avec périmètre ajusté"
"4417";"6225";"FR3100477";"25000";"IGN";;
