"PK_DESIGC";"FPK_NATURA";"SITECODE";"CD_MPRO";"LB_MPRO";"COVER";"PARENT_ISO"
"10947";"3202";"FR3112003";"13";"Terrain acquis par un département";;"FRA"
"10948";"3202";"FR3112003";"31";"Site inscrit selon la loi de 1930";"50";"FRA"
"10949";"3202";"FR3112003";"37";"Réserve naturelle volontaire";"100";"FRA"
"10950";"3202";"FR3112003";"80";"Parc naturel régional";"100";"FRA"
"10951";"3203";"FR3112004";"23";"Réserve biologique dirigée";"65";"FRA"
"10952";"3203";"FR3112004";"27";"Réserve biologique domaniale dirigée";"65";"FRA"
"10953";"3204";"FR3112005";"13";"Terrain acquis par un département";;"FRA"
"10954";"3204";"FR3112005";"21";"Forêt domaniale";;"FRA"
"10955";"3204";"FR3112005";"31";"Site inscrit selon la loi de 1930";;"FRA"
"10956";"3204";"FR3112005";"37";"Réserve naturelle volontaire";;"FRA"
"10957";"3204";"FR3112005";"80";"Parc naturel régional";;"FRA"
"10958";"3205";"FR3112006";"32";"Site classé selon la loi de 1930";"1";"FRA"
"10959";"3205";"FR3112006";"00";"Aucune protection";"99";"FRA"
"10967";"1873";"FR4100157";"21";"Forêt domaniale";"1";"FRA"
"11001";"1844";"FR4100175";"80";"Parc naturel régional";"100";"FRA"
"11002";"1845";"FR4100177";"31";"Site inscrit selon la loi de 1930";"1";"FRA"
"11003";"1845";"FR4100177";"22";"Forêt non domaniale bénéficiant du régime forestier";"99";"FRA"
"11029";"1892";"FR4100193";"21";"Forêt domaniale";"100";"FRA"
"11030";"1892";"FR4100193";"23";"Réserve biologique dirigée";"100";"FRA"
"11031";"1892";"FR4100193";"27";"Réserve biologique domaniale dirigée";"100";"FRA"
"11032";"1849";"FR4100194";"31";"Site inscrit selon la loi de 1930";"3";"FRA"
"11033";"1849";"FR4100194";"23";"Réserve biologique dirigée";"51";"FRA"
"11034";"1849";"FR4100194";"27";"Réserve biologique domaniale dirigée";"51";"FRA"
"11035";"1849";"FR4100194";"80";"Parc naturel régional";"90";"FRA"
"11036";"1849";"FR4100194";"21";"Forêt domaniale";"100";"FRA"
"11041";"1905";"FR4100197";"23";"Réserve biologique dirigée";"2";"FRA"
"11042";"1905";"FR4100197";"27";"Réserve biologique domaniale dirigée";"2";"FRA"
"11043";"1905";"FR4100197";"32";"Site classé selon la loi de 1930";"50";"FRA"
"11044";"1905";"FR4100197";"21";"Forêt domaniale";"90";"FRA"
"11045";"1905";"FR4100197";"80";"Parc naturel régional";"100";"FRA"
"11046";"1906";"FR4100198";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"37";"FRA"
"11047";"1906";"FR4100198";"80";"Parc naturel régional";"60";"FRA"
"11048";"1906";"FR4100198";"23";"Réserve biologique dirigée";"88";"FRA"
"11049";"1906";"FR4100198";"27";"Réserve biologique domaniale dirigée";"88";"FRA"
"11050";"1906";"FR4100198";"21";"Forêt domaniale";"100";"FRA"
"11055";"1908";"FR4100201";"23";"Réserve biologique dirigée";"37";"FRA"
"11056";"1908";"FR4100201";"27";"Réserve biologique domaniale dirigée";"37";"FRA"
"11057";"1908";"FR4100201";"21";"Forêt domaniale";"100";"FRA"
"11058";"1909";"FR4100202";"15";"Terrain acquis par un conservatoire d'espaces naturels";"6";"FRA"
"11059";"1909";"FR4100202";"37";"Réserve naturelle volontaire";"6";"FRA"
"11060";"1909";"FR4100202";"24";"Réserve biologique intégrale";"11";"FRA"
"11061";"1909";"FR4100202";"23";"Réserve biologique dirigée";"83";"FRA"
"11062";"1909";"FR4100202";"27";"Réserve biologique domaniale dirigée";"83";"FRA"
"11063";"1909";"FR4100202";"80";"Parc naturel régional";"100";"FRA"
"11074";"1912";"FR4100205";"31";"Site inscrit selon la loi de 1930";"100";"FRA"
"11075";"1912";"FR4100205";"80";"Parc naturel régional";"100";"FRA"
"11088";"1916";"FR4100209";"22";"Forêt non domaniale bénéficiant du régime forestier";"100";"FRA"
"11089";"1916";"FR4100209";"80";"Parc naturel régional";"100";"FRA"
"11090";"1917";"FR4100210";"15";"Terrain acquis par un conservatoire d'espaces naturels";"100";"FRA"
"11091";"1917";"FR4100210";"80";"Parc naturel régional";"100";"FRA"
"11092";"1918";"FR4100211";"15";"Terrain acquis par un conservatoire d'espaces naturels";"100";"FRA"
"11093";"1918";"FR4100211";"22";"Forêt non domaniale bénéficiant du régime forestier";"100";"FRA"
"11094";"1918";"FR4100211";"80";"Parc naturel régional";"100";"FRA"
"11136";"1899";"FR4100246";"22";"Forêt non domaniale bénéficiant du régime forestier";"20";"FRA"
"11137";"1900";"FR4100247";"00";"Aucune protection";"100";"FRA"
"11172";"3217";"FR4112007";"21";"Forêt domaniale";"100";"FRA"
"11173";"3217";"FR4112007";"23";"Réserve biologique dirigée";"100";"FRA"
"11174";"3217";"FR4112007";"27";"Réserve biologique domaniale dirigée";"100";"FRA"
"11179";"3220";"FR4112010";"23";"Réserve biologique dirigée";"37";"FRA"
"11180";"3220";"FR4112010";"27";"Réserve biologique domaniale dirigée";"37";"FRA"
"11181";"3220";"FR4112010";"21";"Forêt domaniale";"100";"FRA"
"11252";"1776";"FR4201810";"15";"Terrain acquis par un conservatoire d'espaces naturels";"1";"FRA"
"11253";"1776";"FR4201810";"13";"Terrain acquis par un département";"2";"FRA"
"11254";"1776";"FR4201810";"21";"Forêt domaniale";"7";"FRA"
"11255";"1776";"FR4201810";"37";"Réserve naturelle volontaire";"10";"FRA"
"11282";"1794";"FR4202003";"00";"Aucune protection";"100";"FRA"
"11316";"3229";"FR4211811";"23";"Réserve biologique dirigée";"2";"FRA"
"11317";"3229";"FR4211811";"27";"Réserve biologique domaniale dirigée";"2";"FRA"
"11318";"3229";"FR4211811";"36";"Réserve naturelle nationale";"6";"FRA"
"11319";"3229";"FR4211811";"31";"Site inscrit selon la loi de 1930";"10";"FRA"
"11320";"3229";"FR4211811";"53";"Réserve de chasse et de faune sauvage du domaine public fluvial";"12";"FRA"
"11321";"3229";"FR4211811";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"20";"FRA"
"11322";"3229";"FR4211811";"39";"Forêt de protection";"23";"FRA"
"11323";"3230";"FR4211812";"53";"Réserve de chasse et de faune sauvage du domaine public fluvial";"1";"FRA"
"11324";"3230";"FR4211812";"31";"Site inscrit selon la loi de 1930";"2";"FRA"
"11325";"3230";"FR4211812";"15";"Terrain acquis par un conservatoire d'espaces naturels";"9";"FRA"
"11326";"3230";"FR4211812";"36";"Réserve naturelle nationale";"76";"FRA"
"11327";"3230";"FR4211812";"39";"Forêt de protection";"96";"FRA"
"11328";"3231";"FR4211814";"29";"Réserve biologique";"0";"FRA"
"11329";"3231";"FR4211814";"23";"Réserve biologique dirigée";"2";"FRA"
"11330";"3231";"FR4211814";"27";"Réserve biologique domaniale dirigée";"2";"FRA"
"11331";"3231";"FR4211814";"22";"Forêt non domaniale bénéficiant du régime forestier";"10";"FRA"
"11332";"3231";"FR4211814";"21";"Forêt domaniale";"80";"FRA"
"12059";"1970";"FR7200670";"00";"Aucune protection";"100";"FRA"
"12095";"2889";"FR7200692";"00";"Aucune protection";"100";"FRA"
"12116";"2903";"FR7200710";"52";"Réserve de chasse et de faune sauvage d'ACCA";"1";"FRA"
"12117";"2903";"FR7200710";"21";"Forêt domaniale";"82";"FRA"
"12118";"2903";"FR7200710";"31";"Site inscrit selon la loi de 1930";"100";"FRA"
"12119";"2904";"FR7200711";"52";"Réserve de chasse et de faune sauvage d'ACCA";"1";"FRA"
"12120";"2904";"FR7200711";"32";"Site classé selon la loi de 1930";"15";"FRA"
"12121";"2904";"FR7200711";"36";"Réserve naturelle nationale";"34";"FRA"
"12122";"2904";"FR7200711";"21";"Forêt domaniale";"100";"FRA"
"12123";"2904";"FR7200711";"31";"Site inscrit selon la loi de 1930";"100";"FRA"
"12124";"2905";"FR7200712";"21";"Forêt domaniale";"23";"FRA"
"12125";"2905";"FR7200712";"11";"Terrain acquis par le Conservatoire du Littoral";"41";"FRA"
"12126";"2905";"FR7200712";"31";"Site inscrit selon la loi de 1930";"100";"FRA"
"12127";"2906";"FR7200713";"11";"Terrain acquis par le Conservatoire du Littoral";"1";"FRA"
"12128";"2906";"FR7200713";"13";"Terrain acquis par un département";"1";"FRA"
"12129";"2906";"FR7200713";"31";"Site inscrit selon la loi de 1930";"20";"FRA"
"12130";"2906";"FR7200713";"21";"Forêt domaniale";"100";"FRA"
"12150";"2868";"FR7200718";"31";"Site inscrit selon la loi de 1930";"100";"FRA"
"12158";"2871";"FR7200721";"52";"Réserve de chasse et de faune sauvage d'ACCA";"1";"FRA"
"12159";"2871";"FR7200721";"31";"Site inscrit selon la loi de 1930";"95";"FRA"
"12160";"2871";"FR7200721";"80";"Parc naturel régional";"100";"FRA"
"12161";"2872";"FR7200722";"51";"Réserve nationale de chasse et de faune sauvage";"0";"FRA"
"12162";"2872";"FR7200722";"80";"Parc naturel régional";"8";"FRA"
"12163";"2873";"FR7200723";"80";"Parc naturel régional";"51";"FRA"
"12174";"2883";"FR7200738";"36";"Réserve naturelle nationale";"90";"FRA"
"12269";"3347";"FR7212017";"90";"Autre protection";;"FRA"
"12271";"3349";"FR7212019";"90";"Autre protection";;"FRA"
"12272";"2812";"FR7300821";"32";"Site classé selon la loi de 1930";"0";"FRA"
"12273";"2812";"FR7300821";"23";"Réserve biologique dirigée";"1";"FRA"
"12274";"2812";"FR7300821";"27";"Réserve biologique domaniale dirigée";"1";"FRA"
"12275";"2812";"FR7300821";"21";"Forêt domaniale";"98";"FRA"
"12276";"2802";"FR7300822";"21";"Forêt domaniale";"95";"FRA"
"12289";"2819";"FR7300836";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"1";"FRA"
"12298";"2784";"FR7300848";"31";"Site inscrit selon la loi de 1930";"53";"FRA"
"12299";"2784";"FR7300848";"80";"Parc naturel régional";"100";"FRA"
"12300";"2785";"FR7300849";"21";"Forêt domaniale";"2";"FRA"
"12301";"2785";"FR7300849";"34";"Parc national, aire d'adhésion";"2";"FRA"
"12302";"2785";"FR7300849";"22";"Forêt non domaniale bénéficiant du régime forestier";"12";"FRA"
"12303";"2785";"FR7300849";"31";"Site inscrit selon la loi de 1930";"82";"FRA"
"12304";"2785";"FR7300849";"80";"Parc naturel régional";"100";"FRA"
"12305";"2786";"FR7300850";"22";"Forêt non domaniale bénéficiant du régime forestier";"2";"FRA"
"12306";"2786";"FR7300850";"21";"Forêt domaniale";"5";"FRA"
"12307";"2786";"FR7300850";"32";"Site classé selon la loi de 1930";"8";"FRA"
"12308";"2786";"FR7300850";"31";"Site inscrit selon la loi de 1930";"41";"FRA"
"12309";"2786";"FR7300850";"80";"Parc naturel régional";"100";"FRA"
"12310";"2787";"FR7300851";"34";"Parc national, aire d'adhésion";"6";"FRA"
"12311";"2787";"FR7300851";"80";"Parc naturel régional";"100";"FRA"
"12316";"2801";"FR7300855";"34";"Parc national, aire d'adhésion";"0";"FRA"
"12317";"2801";"FR7300855";"31";"Site inscrit selon la loi de 1930";"6";"FRA"
"12318";"2801";"FR7300855";"21";"Forêt domaniale";"9";"FRA"
"12319";"2801";"FR7300855";"32";"Site classé selon la loi de 1930";"12";"FRA"
"12320";"2801";"FR7300855";"80";"Parc naturel régional";"100";"FRA"
"12322";"2781";"FR7300858";"80";"Parc naturel régional";"100";"FRA"
"12323";"2793";"FR7300859";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"1";"FRA"
"12324";"2793";"FR7300859";"80";"Parc naturel régional";"100";"FRA"
"12327";"2795";"FR7300861";"80";"Parc naturel régional";"100";"FRA"
"12328";"2796";"FR7300862";"22";"Forêt non domaniale bénéficiant du régime forestier";"4";"FRA"
"12329";"2796";"FR7300862";"80";"Parc naturel régional";"100";"FRA"
"12346";"2848";"FR7300880";"22";"Forêt non domaniale bénéficiant du régime forestier";"10";"FRA"
"12347";"2848";"FR7300880";"32";"Site classé selon la loi de 1930";"18";"FRA"
"12348";"2849";"FR7300881";"23";"Réserve biologique dirigée";"4";"FRA"
"12349";"2849";"FR7300881";"27";"Réserve biologique domaniale dirigée";"4";"FRA"
"12350";"2849";"FR7300881";"21";"Forêt domaniale";"12";"FRA"
"12351";"2849";"FR7300881";"32";"Site classé selon la loi de 1930";"27";"FRA"
"12352";"2849";"FR7300881";"22";"Forêt non domaniale bénéficiant du régime forestier";"28";"FRA"
"12353";"2849";"FR7300881";"31";"Site inscrit selon la loi de 1930";"47";"FRA"
"12354";"2850";"FR7300883";"23";"Réserve biologique dirigée";"5";"FRA"
"12355";"2850";"FR7300883";"27";"Réserve biologique domaniale dirigée";"5";"FRA"
"12356";"2850";"FR7300883";"21";"Forêt domaniale";"12";"FRA"
"12357";"2850";"FR7300883";"22";"Forêt non domaniale bénéficiant du régime forestier";"20";"FRA"
"12358";"2850";"FR7300883";"31";"Site inscrit selon la loi de 1930";"39";"FRA"
"12359";"2851";"FR7300884";"24";"Réserve biologique intégrale";"1";"FRA"
"12360";"2851";"FR7300884";"21";"Forêt domaniale";"15";"FRA"
"12361";"2851";"FR7300884";"22";"Forêt non domaniale bénéficiant du régime forestier";"35";"FRA"
"12362";"2852";"FR7300885";"31";"Site inscrit selon la loi de 1930";"1";"FRA"
"12363";"2852";"FR7300885";"22";"Forêt non domaniale bénéficiant du régime forestier";"17";"FRA"
"12364";"2852";"FR7300885";"21";"Forêt domaniale";"22";"FRA"
"12365";"2865";"FR7300887";"00";"Aucune protection";"100";"FRA"
"12369";"2856";"FR7300893";"00";"Aucune protection";"100";"FRA"
"12372";"2859";"FR7300900";"00";"Aucune protection";"100";"FRA"
"12373";"2860";"FR7300902";"13";"Terrain acquis par un département";"0";"FRA"
"12374";"2860";"FR7300902";"22";"Forêt non domaniale bénéficiant du régime forestier";"1";"FRA"
"12375";"2860";"FR7300902";"32";"Site classé selon la loi de 1930";"3";"FRA"
"12376";"2860";"FR7300902";"31";"Site inscrit selon la loi de 1930";"77";"FRA"
"12377";"2860";"FR7300902";"80";"Parc naturel régional";"100";"FRA"
"12390";"2827";"FR7300914";"00";"Aucune protection";"100";"FRA"
"12407";"2835";"FR7300924";"34";"Parc national, aire d'adhésion";"0";"FRA"
"12408";"2835";"FR7300924";"21";"Forêt domaniale";"4";"FRA"
"12409";"2835";"FR7300924";"22";"Forêt non domaniale bénéficiant du régime forestier";"12";"FRA"
"12410";"2835";"FR7300924";"32";"Site classé selon la loi de 1930";"75";"FRA"
"12411";"2835";"FR7300924";"33";"Parc national, zone coeur";"100";"FRA"
"12420";"2838";"FR7300927";"21";"Forêt domaniale";"1";"FRA"
"12421";"2838";"FR7300927";"22";"Forêt non domaniale bénéficiant du régime forestier";"1";"FRA"
"12422";"2838";"FR7300927";"34";"Parc national, aire d'adhésion";"29";"FRA"
"12423";"2838";"FR7300927";"33";"Parc national, zone coeur";"71";"FRA"
"12424";"2838";"FR7300927";"32";"Site classé selon la loi de 1930";"90";"FRA"
"12425";"2839";"FR7300928";"22";"Forêt non domaniale bénéficiant du régime forestier";"2";"FRA"
"12426";"2839";"FR7300928";"32";"Site classé selon la loi de 1930";"40";"FRA"
"12427";"2839";"FR7300928";"34";"Parc national, aire d'adhésion";"45";"FRA"
"12428";"2839";"FR7300928";"33";"Parc national, zone coeur";"55";"FRA"
"12441";"2782";"FR7300932";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"0";"FRA"
"12442";"2782";"FR7300932";"22";"Forêt non domaniale bénéficiant du régime forestier";"1";"FRA"
"12443";"2782";"FR7300932";"32";"Site classé selon la loi de 1930";"17";"FRA"
"12444";"2782";"FR7300932";"34";"Parc national, aire d'adhésion";"17";"FRA"
"12446";"3059";"FR7300934";"52";"Réserve de chasse et de faune sauvage d'ACCA";"25";"FRA"
"12447";"3059";"FR7300934";"22";"Forêt non domaniale bénéficiant du régime forestier";"26";"FRA"
"12448";"3059";"FR7300934";"32";"Site classé selon la loi de 1930";"67";"FRA"
"12449";"3059";"FR7300934";"34";"Parc national, aire d'adhésion";"100";"FRA"
"12450";"3060";"FR7300935";"34";"Parc national, aire d'adhésion";"0";"FRA"
"12451";"3060";"FR7300935";"22";"Forêt non domaniale bénéficiant du régime forestier";"5";"FRA"
"12452";"3060";"FR7300935";"32";"Site classé selon la loi de 1930";"100";"FRA"
"12456";"3063";"FR7300942";"80";"Parc naturel régional";"100";"FRA"
"12463";"3065";"FR7300945";"23";"Réserve biologique dirigée";"0";"FRA"
"12464";"3065";"FR7300945";"27";"Réserve biologique domaniale dirigée";"0";"FRA"
"12465";"3065";"FR7300945";"21";"Forêt domaniale";"15";"FRA"
"12466";"3065";"FR7300945";"80";"Parc naturel régional";"93";"FRA"
"12467";"3066";"FR7300946";"15";"Terrain acquis par un conservatoire d'espaces naturels";"1";"FRA"
"12468";"3066";"FR7300946";"23";"Réserve biologique dirigée";"1";"FRA"
"12469";"3066";"FR7300946";"27";"Réserve biologique domaniale dirigée";"1";"FRA"
"12470";"3066";"FR7300946";"21";"Forêt domaniale";"6";"FRA"
"12471";"3066";"FR7300946";"22";"Forêt non domaniale bénéficiant du régime forestier";"17";"FRA"
"12472";"3066";"FR7300946";"80";"Parc naturel régional";"100";"FRA"
"12473";"3079";"FR7300948";"80";"Parc naturel régional";"100";"FRA"
"12474";"3068";"FR7300949";"22";"Forêt non domaniale bénéficiant du régime forestier";"1";"FRA"
"12475";"3068";"FR7300949";"80";"Parc naturel régional";"100";"FRA"
"12476";"3058";"FR7300951";"23";"Réserve biologique dirigée";"1";"FRA"
"12477";"3058";"FR7300951";"27";"Réserve biologique domaniale dirigée";"1";"FRA"
"12478";"3058";"FR7300951";"21";"Forêt domaniale";"100";"FRA"
"12479";"3070";"FR7300952";"15";"Terrain acquis par un conservatoire d'espaces naturels";"1";"FRA"
"12480";"3070";"FR7300952";"32";"Site classé selon la loi de 1930";"1";"FRA"
"12481";"3070";"FR7300952";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"1";"FRA"
"12482";"3070";"FR7300952";"22";"Forêt non domaniale bénéficiant du régime forestier";"6";"FRA"
"12483";"3070";"FR7300952";"31";"Site inscrit selon la loi de 1930";"21";"FRA"
"12632";"3120";"FR8201650";"32";"Site classé selon la loi de 1930";"11";"FRA"
"12633";"3120";"FR8201650";"21";"Forêt domaniale";"13";"FRA"
"12634";"3120";"FR8201650";"53";"Réserve de chasse et de faune sauvage du domaine public fluvial";"14";"FRA"
"12635";"3120";"FR8201650";"52";"Réserve de chasse et de faune sauvage d'ACCA";"70";"FRA"
"12636";"3120";"FR8201650";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"71";"FRA"
"12637";"3120";"FR8201650";"80";"Parc naturel régional";"71";"FRA"
"12660";"3087";"FR8201664";"21";"Forêt domaniale";"16";"FRA"
"12661";"3087";"FR8201664";"22";"Forêt non domaniale bénéficiant du régime forestier";"18";"FRA"
"12662";"3087";"FR8201664";"32";"Site classé selon la loi de 1930";"30";"FRA"
"12663";"3088";"FR8201665";"00";"Aucune protection";"100";"FRA"
"12913";"3385";"FR8212011";"00";"Aucune protection";"100";"FRA"
"12939";"3399";"FR8212025";"31";"Site inscrit selon la loi de 1930";"0";"FRA"
"12940";"3399";"FR8212025";"32";"Site classé selon la loi de 1930";"4";"FRA"
"12941";"3399";"FR8212025";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"9";"FRA"
"12942";"3399";"FR8212025";"36";"Réserve naturelle nationale";"65";"FRA"
"12943";"3399";"FR8212025";"80";"Parc naturel régional";"98";"FRA"
"12957";"2555";"FR8301018";"00";"Aucune protection";"100";"FRA"
"13141";"2478";"FR9101382";"22";"Forêt non domaniale bénéficiant du régime forestier";"10";"FRA"
"13142";"2479";"FR9101383";"34";"Parc national, aire d'adhésion";"5";"FRA"
"13233";"2513";"FR9101461";"00";"Aucune protection";"100";"FRA"
"13260";"2489";"FR9101475";"31";"Site inscrit selon la loi de 1930";"3";"FRA"
"13261";"2489";"FR9101475";"52";"Réserve de chasse et de faune sauvage d'ACCA";"12";"FRA"
"13262";"2489";"FR9101475";"32";"Site classé selon la loi de 1930";"18";"FRA"
"13263";"2489";"FR9101475";"39";"Forêt de protection";"23";"FRA"
"13264";"2489";"FR9101475";"21";"Forêt domaniale";"48";"FRA"
"13265";"2489";"FR9101475";"36";"Réserve naturelle nationale";"63";"FRA"
"13266";"2501";"FR9101476";"36";"Réserve naturelle nationale";"25";"FRA"
"13279";"2496";"FR9101487";"31";"Site inscrit selon la loi de 1930";"100";"FRA"
"13311";"3415";"FR9110076";"32";"Site classé selon la loi de 1930";"10";"FRA"
