"PK_DESIGR";"FPK_NATURA";"SITECODE";"CD_MPRO";"LB_MPRO";"DES_SITE";"OVERLAP";"OVERLAP_P";"NM_SPN";"PARENT_ISO"
"6583";"1892";"FR4100193";"29";"Réserve biologique";"RBD du Grossman";"=";"100";;"FRA"
"6584";"1849";"FR4100194";"21";"Forêt domaniale";"FD de Gérardmer (758.7 ha)";"-";"75";;"FRA"
"6585";"1849";"FR4100194";"21";"Forêt domaniale";"FD de Housseramont (262.1 ha)";"-";"25";;"FRA"
"6586";"1849";"FR4100194";"29";"Réserve biologique";"RBD de la Morte-femme (51.56 ha) inclu dans FD Gérardmer";"-";"5";;"FRA"
"6587";"1849";"FR4100194";"29";"Réserve biologique";"RBD du Noir Rupt (468 ha) inclu dans FD Housseramont";"-";"46";;"FRA"
"6588";"1849";"FR4100194";"80";"Parc naturel régional";"Ballons des Vosges";"*";"90";"FR8000006";"FRA"
"6593";"1905";"FR4100197";"21";"Forêt domaniale";"FD de Vologne";"*";"90";;"FRA"
"6594";"1905";"FR4100197";"29";"Réserve biologique";"RBD des Grandes Ronces et des Hautes Pinasses (14.13 ha)";"+";"2";;"FRA"
"6595";"1905";"FR4100197";"32";"Site classé selon la loi de 1930";"Site classé de la Vologne";"*";"50";;"FRA"
"6596";"1905";"FR4100197";"80";"Parc naturel régional";"Ballons des Vosges";;"100";"FR8000006";"FRA"
"6597";"1906";"FR4100198";"21";"Forêt domaniale";"FD de Haute Meurthe";"=";"100";;"FRA"
"6598";"1906";"FR4100198";"29";"Réserve biologique";"APB de la Haute Meurthe inclu dans la RBD";"+";"100";;"FRA"
"6599";"1906";"FR4100198";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"RBD de Haute Meurthe (832 ha) inclu dans la FD";"+";"90";;"FRA"
"6600";"1906";"FR4100198";"80";"Parc naturel régional";"Ballons des Vosges";"-";"100";"FR8000006";"FRA"
"6604";"1908";"FR4100201";"21";"Forêt domaniale";"Forêt domaniale de Bousson et Grandcheneau";"*";"100";;"FRA"
"6605";"1908";"FR4100201";"29";"Réserve biologique";"Réserve de Bousson Grandcheneau (";"-";"33";;"FRA"
"6606";"1909";"FR4100202";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Tourbière de la Charme (28 ha)";"-";"6";;"FRA"
"6607";"1909";"FR4100202";"24";"Réserve biologique intégrale";"Forêt communale de Thiéfosse";"-";"11";;"FRA"
"6608";"1909";"FR4100202";"29";"Réserve biologique";"RBD de Longegoutte (298 ha)";"-";"83";;"FRA"
"6609";"1909";"FR4100202";"37";"Réserve naturelle volontaire";"RNV de la Tourbière de la Charme (20 ha)";"-";"6";;"FRA"
"6610";"1909";"FR4100202";"80";"Parc naturel régional";"Ballons des Vosges";"+";"100";"FR8000006";"FRA"
"6620";"1912";"FR4100205";"31";"Site inscrit selon la loi de 1930";"SIte inscrit du Lac et de la tourbière du Lispach";;;;"FRA"
"6621";"1912";"FR4100205";"80";"Parc naturel régional";"Ballons des Vosges";"-";"100";"FR8000006";"FRA"
"6635";"1916";"FR4100209";"22";"Forêt non domaniale bénéficiant du régime forestier";"FC de Gerbamont et de Basse-sur-le-Rupt";;;;"FRA"
"6636";"1916";"FR4100209";"80";"Parc naturel régional";"Ballons des Vosges";;;"FR8000006";"FRA"
"6637";"1917";"FR4100210";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Convention de gestion ";;;;"FRA"
"6638";"1917";"FR4100210";"80";"Parc naturel régional";"Ballons des Vosges";"-";"100";"FR8000006";"FRA"
"6639";"1918";"FR4100211";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Convention";;;;"FRA"
"6640";"1918";"FR4100211";"22";"Forêt non domaniale bénéficiant du régime forestier";"PNR des ballons des Vosges";;;;"FRA"
"6641";"1918";"FR4100211";"80";"Parc naturel régional";"FC de Jussarupt";;;;"FRA"
"6691";"3217";"FR4112007";"21";"Forêt domaniale";"FD d'Abreschwiller et de Walscheid";"-";"100";;"FRA"
"6692";"3217";"FR4112007";"29";"Réserve biologique";"RBD du Grossman";"=";"100";;"FRA"
"6698";"3220";"FR4112010";"21";"Forêt domaniale";"Forêt domaniale de Bousson et Grandcheneau";"*";"100";;"FRA"
"6699";"3220";"FR4112010";"29";"Réserve biologique";"Réserve de Bousson et Grandcheneau";"-";"33";;"FRA"
"6780";"1776";"FR4201810";"13";"Terrain acquis par un département";"Réserve départementale de Schweighouse";;"2";;"FRA"
"6781";"1776";"FR4201810";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Réserve du Biberbach";;"1";;"FRA"
"6782";"1776";"FR4201810";"21";"Forêt domaniale";"Forêts communales de Guewenheim, Burnhaupt";;"7";;"FRA"
"6783";"1776";"FR4201810";"37";"Réserve naturelle volontaire";"Réserve Naturelle Volontaire de Michelbach";"+";"10";;"FRA"
"6857";"3229";"FR4211811";"31";"Site inscrit selon la loi de 1930";"Embouchure de la Sauer";;"12";;"FRA"
"6858";"3229";"FR4211811";"36";"Réserve naturelle nationale";"Delta de la Sauer";;"10";"FR3600135";"FRA"
"6859";"3229";"FR4211811";"36";"Réserve naturelle nationale";"Forêt d'Offendorf";;"1";"FR3600097";"FRA"
"6860";"3229";"FR4211811";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Cours inférieur de la Moder";;"20";"FR3800122";"FRA"
"6861";"3229";"FR4211811";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Héronnière de Beinheim (Ile aux hérons)";;"0";"FR3800124";"FRA"
"6862";"3229";"FR4211811";"39";"Forêt de protection";"Boisements alluviaux";;"23";;"FRA"
"6863";"3229";"FR4211811";"53";"Réserve de chasse et de faune sauvage du domaine public fluvial";"Forêt d'Auenheim";;"1";;"FRA"
"6864";"3229";"FR4211811";"53";"Réserve de chasse et de faune sauvage du domaine public fluvial";"Forêt de Dalhunden";;"3";;"FRA"
"6865";"3229";"FR4211811";"53";"Réserve de chasse et de faune sauvage du domaine public fluvial";"Forêt de Mothern";;"1";;"FRA"
"6866";"3229";"FR4211811";"53";"Réserve de chasse et de faune sauvage du domaine public fluvial";"Forêt de Sessenheim";;"1";;"FRA"
"6867";"3229";"FR4211811";"53";"Réserve de chasse et de faune sauvage du domaine public fluvial";"forêt d'Offendorf";;"2";;"FRA"
"6868";"3229";"FR4211811";"53";"Réserve de chasse et de faune sauvage du domaine public fluvial";"Réserve de chasse et de faune du Rhin";;"12";;"FRA"
"6869";"3230";"FR4211812";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Boisements alluviaux";;"9";;"FRA"
"6870";"3230";"FR4211812";"31";"Site inscrit selon la loi de 1930";"Marckolsheim-Artzenheim";;"1";;"FRA"
"6871";"3230";"FR4211812";"31";"Site inscrit selon la loi de 1930";"Petite Camargue alsacienne";;"2";;"FRA"
"6872";"3230";"FR4211812";"36";"Réserve naturelle nationale";"Réserve de chasse de la vallée du Rhin";;"76";;"FRA"
"6873";"3230";"FR4211812";"39";"Forêt de protection";"Kembs-Neuf-Brisach";;"95";;"FRA"
"6874";"3230";"FR4211812";"53";"Réserve de chasse et de faune sauvage du domaine public fluvial";"Marais et landes";;"1";;"FRA"
"6875";"3231";"FR4211814";"21";"Forêt domaniale";"FD d'Engenthal, du Donon et de Lutzelhouse";"+";"80";;"FRA"
"6876";"3231";"FR4211814";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêts communales ";"/";"10";;"FRA"
"6877";"3231";"FR4211814";"24";"Réserve biologique intégrale";"R.B.D. intégrale de la tourbière de la Maxe";"-";"0";;"FRA"
"6878";"3231";"FR4211814";"29";"Réserve biologique";"R.B.D. du Massif du Schneeberg";"-";"2";;"FRA"
"7496";"2904";"FR7200711";"36";"Réserve naturelle nationale";"Courant d'Huchet";"*";"34";"FR3600057";"FRA"
"7497";"2905";"FR7200712";"11";"Terrain acquis par le Conservatoire du Littoral";"DUNE DE SEIGNOSSE-LE-PENON";"*";;;"FRA"
"7506";"2871";"FR7200721";"80";"Parc naturel régional";"Landes de Gascogne";"-";"100";"FR8000018";"FRA"
"7507";"2872";"FR7200722";"51";"Réserve nationale de chasse et de faune sauvage";"Arjuzanx";"/";"0";"FR5100007";"FRA"
"7508";"2872";"FR7200722";"80";"Parc naturel régional";"Landes de Gascogne";"*";"8";"FR8000018";"FRA"
"7509";"2873";"FR7200723";"80";"Parc naturel régional";"Landes de Gascogne";"*";"51";"FR8000018";"FRA"
"7534";"2812";"FR7300821";"21";"Forêt domaniale";"FD du Biros et de Bonac";;"96";;"FRA"
"7535";"2812";"FR7300821";"29";"Réserve biologique";"RBD de l'Isard";;"1";;"FRA"
"7536";"2812";"FR7300821";"32";"Site classé selon la loi de 1930";"Grotte de la Cigalère";;"0";;"FRA"
"7546";"2819";"FR7300836";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Grotte d'Aubert";"+";"0";"FR3800356";"FRA"
"7547";"2819";"FR7300836";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Montagne de Sourroque";"*";"0";"FR3800255";"FRA"
"7554";"2784";"FR7300848";"31";"Site inscrit selon la loi de 1930";"SI Gorges du Tarn";;"53";;"FRA"
"7555";"2784";"FR7300848";"80";"Parc naturel régional";"Grands Causses";;"100";"FR8000014";"FRA"
"7556";"2785";"FR7300849";"34";"Parc national, aire d'adhésion";"Cévennes [aire d'adhésion]";"/";"2";"FR3400004";"FRA"
"7557";"2785";"FR7300849";"80";"Parc naturel régional";"Grands Causses";"-";"100";"FR8000014";"FRA"
"7558";"2786";"FR7300850";"80";"Parc naturel régional";"Grands Causses";"-";"100";"FR8000014";"FRA"
"7559";"2787";"FR7300851";"34";"Parc national, aire d'adhésion";"Cévennes [aire d'adhésion]";"*";"6";"FR3400004";"FRA"
"7560";"2787";"FR7300851";"80";"Parc naturel régional";"Grands Causses";"-";"100";"FR8000014";"FRA"
"7563";"2801";"FR7300855";"34";"Parc national, aire d'adhésion";"Cévennes [aire d'adhésion]";"/";"0";"FR3400004";"FRA"
"7564";"2801";"FR7300855";"68";"Réserve de Biosphère";"Réserve de Biosphère des Cévennes";;"0";;"INT"
"7565";"2801";"FR7300855";"80";"Parc naturel régional";"Grands Causses";"-";"100";"FR8000014";"FRA"
"7567";"2781";"FR7300858";"80";"Parc naturel régional";"Grands Causses";"-";"100";"FR8000014";"FRA"
"7568";"2793";"FR7300859";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Grotte du Boundoulaou";"+";"1";"FR3800241";"FRA"
"7569";"2793";"FR7300859";"80";"Parc naturel régional";"Grands Causses";"-";"100";"FR8000014";"FRA"
"7571";"2795";"FR7300861";"80";"Parc naturel régional";"Grands Causses";"-";"100";"FR8000014";"FRA"
"7572";"2796";"FR7300862";"80";"Parc naturel régional";"Grands Causses";"-";"100";"FR8000014";"FRA"
"7577";"2848";"FR7300880";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale d'Oô";;"10";;"FRA"
"7578";"2848";"FR7300880";"32";"Site classé selon la loi de 1930";"Site classé du Lac d'Oô";;"18";;"FRA"
"7579";"2849";"FR7300881";"21";"Forêt domaniale";"FD de Luchon et de Saint Mamet";;"12";;"FRA"
"7580";"2849";"FR7300881";"29";"Réserve biologique";"RBD de Luchon";;"4";;"FRA"
"7581";"2849";"FR7300881";"31";"Site inscrit selon la loi de 1930";"Site Inscrit de la Vallée du Lys";;"47";;"FRA"
"7582";"2849";"FR7300881";"32";"Site classé selon la loi de 1930";"Sites Classés de l'Hospice de France et de la Vallée du Lys";;"27";;"FRA"
"7583";"2850";"FR7300883";"29";"Réserve biologique";"RBD de Burat Palarquère";;"5";;"FRA"
"7584";"2850";"FR7300883";"31";"Site inscrit selon la loi de 1930";"Site Inscrit de Melles";;"39";;"FRA"
"7585";"2851";"FR7300884";"24";"Réserve biologique intégrale";"RBF de la Montagne de Rié";;"1";;"FRA"
"7586";"2852";"FR7300885";"21";"Forêt domaniale";"Forêt domaniale des Frontignes";;;;"FRA"
"7587";"2852";"FR7300885";"21";"Forêt domaniale";"Forêt domaniale Sauveterre de Comminges";;;;"FRA"
"7588";"2852";"FR7300885";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale de Barbazan";;;;"FRA"
"7589";"2852";"FR7300885";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale de Cier de Rivière";;;;"FRA"
"7590";"2852";"FR7300885";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale de Labroquère";;;;"FRA"
"7591";"2852";"FR7300885";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale de Lourde";;;;"FRA"
"7592";"2852";"FR7300885";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale de Luscan";;;;"FRA"
"7593";"2852";"FR7300885";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale de Mont de Galié";;;;"FRA"
"7594";"2852";"FR7300885";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale de Régades";;;;"FRA"
"7595";"2852";"FR7300885";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale de Saint Pé d'Ardet";;;;"FRA"
"7596";"2852";"FR7300885";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale d'Izaut de l'Hotel";;;;"FRA"
"7597";"2852";"FR7300885";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt indivise de Gourdan-Seilhan";;;;"FRA"
"7598";"2852";"FR7300885";"31";"Site inscrit selon la loi de 1930";"Site inscrit du lac de Saint Pé d'Ardet";;"1";;"FRA"
"7611";"2835";"FR7300924";"33";"Parc national, zone coeur";"Pyrénées [cœur]";"-";"100";"FR3300003";"FRA"
"7612";"2835";"FR7300924";"34";"Parc national, aire d'adhésion";"Pyrénées [aire d'adhésion]";"/";"0";"FR3400003";"FRA"
"7617";"2838";"FR7300927";"33";"Parc national, zone coeur";"Pyrénées [cœur]";"*";"71";"FR3300003";"FRA"
"7618";"2838";"FR7300927";"34";"Parc national, aire d'adhésion";"Pyrénées [aire d'adhésion]";"*";"30";"FR3400003";"FRA"
"7619";"2839";"FR7300928";"33";"Parc national, zone coeur";"Pyrénées [cœur]";"*";"55";"FR3300003";"FRA"
"7620";"2839";"FR7300928";"34";"Parc national, aire d'adhésion";"Pyrénées [aire d'adhésion]";"*";"45";"FR3400003";"FRA"
"7628";"2782";"FR7300932";"34";"Parc national, aire d'adhésion";"Pyrénées [aire d'adhésion]";"*";"17";"FR3400003";"FRA"
"7629";"2782";"FR7300932";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Adour et affluents";"*";"0";"FR3800445";"FRA"
"7631";"3059";"FR7300934";"22";"Forêt non domaniale bénéficiant du régime forestier";"Ensemble de forêts communales gérées par l'ONF";;"26";;"FRA"
"7632";"3059";"FR7300934";"32";"Site classé selon la loi de 1930";"Site classé (Rioumajou)";;"67";;"FRA"
"7633";"3059";"FR7300934";"34";"Parc national, aire d'adhésion";"Pyrénées [aire d'adhésion]";"-";"100";"FR3400003";"FRA"
"7634";"3059";"FR7300934";"52";"Réserve de chasse et de faune sauvage d'ACCA";"Réserve de Chasse du Moudang";;"25";;"FRA"
"7635";"3060";"FR7300935";"34";"Parc national, aire d'adhésion";"Pyrénées [aire d'adhésion]";"/";"0";"FR3400003";"FRA"
"7637";"3063";"FR7300942";"80";"Parc naturel régional";"Haut Languedoc";;"100";"FR8000016";"FRA"
"7640";"3066";"FR7300946";"80";"Parc naturel régional";"Haut Languedoc";;"100";"FR8000016";"FRA"
"7641";"3079";"FR7300948";"80";"Parc naturel régional";"Haut Languedoc";"-";"100";"FR8000016";"FRA"
"7642";"3070";"FR7300952";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Gorges de Laveyron , causses proches et vallée de la Vere";"/";"1";;"FRA"
"7735";"3120";"FR8201650";"32";"Site classé selon la loi de 1930";"Site classé ""Défilé de Fort L'Ecluse""";"*";"11";;"FRA"
"7736";"3120";"FR8201650";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"L'Etournel";"*";"71";"FR3800430";"FRA"
"7737";"3120";"FR8201650";"80";"Parc naturel régional";"Haut Jura";"*";"71";"FR8000015";"FRA"
"7987";"3399";"FR8212025";"32";"Site classé selon la loi de 1930";"Site classé Défilé de Fort l'Ecluse";"*";"3";;"FRA"
"7988";"3399";"FR8212025";"36";"Réserve naturelle nationale";"Haute Chaîne du Jura";"+";"65";"FR3600112";"FRA"
"7989";"3399";"FR8212025";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Marais de Fenières";"+";"0";"FR3800522";"FRA"
"7990";"3399";"FR8212025";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Protection des oiseaux rupestres";"*";"9";"FR3800192";"FRA"
"7991";"3399";"FR8212025";"80";"Parc naturel régional";"Haut Jura";"*";"98";"FR8000015";"FRA"
"8115";"2478";"FR9101382";"22";"Forêt non domaniale bénéficiant du régime forestier";"FORET COMMUNALE DE VISSEC";"*";"10";;"FRA"
"8116";"2479";"FR9101383";"34";"Parc national, aire d'adhésion";"Cévennes [aire d'adhésion]";"*";"5";"FR3400004";"FRA"
"8117";"2479";"FR9101383";"68";"Réserve de Biosphère";"Réserve de biosphère des Cévennes";"+";;;"INT"
"8212";"2489";"FR9101475";"36";"Réserve naturelle nationale";"Mantet";"+";"25";"FR3600072";"FRA"
"8213";"2489";"FR9101475";"36";"Réserve naturelle nationale";"PRATS-DE-MOLLO";"/";"0";;"FRA"
"8214";"2489";"FR9101475";"36";"Réserve naturelle nationale";"Py";"+";"38";"FR3600071";"FRA"
"8215";"2501";"FR9101476";"36";"Réserve naturelle nationale";"PRATS-DE-MOLLO";"*";"26";;"FRA"
"8235";"2496";"FR9101487";"31";"Site inscrit selon la loi de 1930";"SI des ruines du castellas";"-";"100";;"FRA"
"8259";"3415";"FR9110076";"21";"Forêt domaniale";"FD DU CANIGOU";"*";"30";;"FRA"
"8260";"3415";"FR9110076";"21";"Forêt domaniale";"FD DU HAUT VALLESPIR";"*";"20";;"FRA"
"8261";"3415";"FR9110076";"32";"Site classé selon la loi de 1930";"SITE CLASSE DU CANIGOU";"*";"10";;"FRA"
"8262";"3415";"FR9110076";"36";"Réserve naturelle nationale";"Py";"+";"21";"FR3600071";"FRA"
"8263";"3415";"FR9110076";"36";"Réserve naturelle nationale";"RESERVE NATURELLE DE MANTET";"+";"15";;"FRA"
"8264";"3415";"FR9110076";"36";"Réserve naturelle nationale";"RESERVE NATURELLE DE PRATS DE MOLLO";"+";"12";;"FRA"
"8265";"3415";"FR9110076";"80";"Parc naturel régional";"Pyrénées catalanes";"*";"50";"FR8000044";"FRA"
"8336";"3445";"FR9112025";"11";"Terrain acquis par le Conservatoire du Littoral";"ETANG DE CANET - SAINT-NAZAIRE";"-";"55";"FR1100178";"FRA"
"8337";"3445";"FR9112025";"52";"Réserve de chasse et de faune sauvage d'ACCA";"réserve de chasse de l'ACCA de Canet";"-";"5";;"FRA"
"8338";"3445";"FR9112025";"54";"Réserve de chasse et de faune sauvage du domaine public maritime";"Réserve de l'Esparrou";"-";"13";;"FRA"
"8339";"3445";"FR9112025";"54";"Réserve de chasse et de faune sauvage du domaine public maritime";"Réseve du Mas Conte";"-";"10";;"FRA"
"8340";"3446";"FR9112026";"36";"Réserve naturelle nationale";"Conat";"+";"2";"FR3600082";"FRA"
"8341";"3446";"FR9112026";"36";"Réserve naturelle nationale";"Nohèdes";"+";"7";"FR3600084";"FRA"
"8342";"3446";"FR9112026";"36";"Réserve naturelle nationale";"réserve naturelle nationale de Jujols";"+";"2";;"FRA"
"8343";"3446";"FR9112026";"80";"Parc naturel régional";"Pyrénées catalanes";"-";"100";"FR8000044";"FRA"
"8362";"3454";"FR9112034";"36";"Réserve naturelle nationale";"Réserve marine de Cerbère Banyuls";;"2";;"FRA"
"8726";"2667";"FR9402013";"79";"Autres désignations internationales";"PELAGOS : sanctuaire mammifères  marins ";;"100";;"INT"
"8727";"2668";"FR9402014";"79";"Autres désignations internationales";"PELAGOS : sanctuaire mammifères marins ";;"100";;"INT"
"8728";"2669";"FR9402015";"79";"Autres désignations internationales";"PELAGOS : sanctuaire mammifères  marins ";;"100";;"INT"
"8729";"2670";"FR9402016";"79";"Autres désignations internationales";"PELAGOS : sanctuaire mammifères  marins";;"100";;"INT"
"8731";"3099";"FR9402018";"79";"Autres désignations internationales";"PELAGOS : sanctuaire mammifères marins ";;"100";;"INT"
"8749";"3506";"FR9412009";"79";"Autres désignations internationales";"PELAGOS : sanctuaire mammifères  marin ";;"100";;"INT"
"8750";"3507";"FR9412010";"79";"Autres désignations internationales";"sanctuaire marin Pelagos";;"100";;"INT"
"9214";"3817";"FR9101464";"32";"Site classé selon la loi de 1930";"Fort de Salses et ses abords";"-";"100";;"FRA"
"9365";"3895";"FR7300923";"34";"Parc national, aire d'adhésion";"Pyrénées [aire d'adhésion]";"-";"100";"FR3400003";"FRA"
"9387";"3918";"FR8301052";"32";"Site classé selon la loi de 1930";"Parc régional des volcans d'auvergne";;"100";;"FRA"
"9388";"3918";"FR8301052";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Narse d'Espinasse";;"1";"FR3800189";"FRA"
"9389";"3918";"FR8301052";"80";"Parc naturel régional";"Chaine des Puys";;"98";;"FRA"
"9412";"3926";"FR7300953";"31";"Site inscrit selon la loi de 1930";"SI du Vallon de St Symphorien";;"1";;"FRA"
"9448";"3937";"FR5312012";"13";"Terrain acquis par un département";"ENS Ille et Vilaine";"+";"33";;"FRA"
"9569";"3995";"FR7300835";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Grotte d'Aliou";"=";"100";"FR3800355";"FRA"
"9570";"3996";"FR7300840";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Grotte de Tourtouse";;"100";"FR3800359";"FRA"
"9601";"4015";"FR7300839";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Grotte de la Campagnole, ker de Massat";;"100";"FR3800251";"FRA"
"9661";"4051";"FR7300838";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Grotte de Malarnaud";;"100";"FR3800358";"FRA"
