"PK_NATURA";"SITECODE";"SITE_NAME";"TYPE";"DATE_";"UPDATE_";"DATE_PROP";"DATE_LAST_PROP";"DATE_FIRST_CON";"DATE_CON";"SAC_DATE_INIT";"SAC_DATE";"SPA_DATE_INIT";"SPA_DATE";"AREA";"MARINE_AREA_POURC";"LONGITUDE";"LATITUDE";"FR_ALT_MAX";"FR_ALT_MIN";"FR_ALT_MEAN";"CD_REG";"INSPIRE_ID";"EXIST_PLAN";"SPA_LEGAL_REF";"SAC_LEGAL_REF";"EXPLANATIONS";"DATE_INTEGRATION"
"1916";"FR4100209";"Tourbière du Champâtre";"B";30/11/1995 00:00:00;31/10/2004 00:00:00;31/8/1998 00:00:00;31/8/1998 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;13/4/2007 00:00:00;13/4/2007 00:00:00;;;17,00;;6,79;48,00;"1020";"1000";;"41";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000461173";;5/7/2006 00:00:00
"1917";"FR4100210";"Tourbière de Jemnaufaing";"B";30/11/1995 00:00:00;31/10/2004 00:00:00;31/8/1998 00:00:00;31/8/1998 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;17/3/2008 00:00:00;17/3/2008 00:00:00;;;10,00;;6,82;48,00;"1020";"999";"1010";"41";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000018571455";;5/7/2006 00:00:00
"1918";"FR4100211";"Tourbière de la Bouyère";"B";30/11/1995 00:00:00;31/10/2004 00:00:00;31/8/1998 00:00:00;31/8/1998 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;13/4/2007 00:00:00;13/4/2007 00:00:00;;;3,00;;6,73;48,14;;;"700";"41";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000647520";;5/7/2006 00:00:00
"1970";"FR7200670";"Coteaux de la Dronne";"B";30/11/1995 00:00:00;31/3/1998 00:00:00;31/7/2003 00:00:00;31/7/2003 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;14/10/2014 00:00:00;14/10/2014 00:00:00;;;272,00;;0,52;45,29;"160";"80";;"72";;"false";;"http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029620710";;15/12/2021 00:00:00
"2013";"FR5202010";"Plateau du Four";"B";30/6/2008 00:00:00;31/7/2008 00:00:00;31/10/2008 00:00:00;31/10/2008 00:00:00;22/12/2009 00:00:00;22/12/2009 00:00:00;31/12/2015 00:00:00;31/12/2015 00:00:00;;;4208,00;"100";-2,64;47,27;"0";"-40";"-15";"52";;"false";;"http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031872833&dateTexte=";;30/10/2008 00:00:00
"2014";"FR5202011";"Estuaire de la Loire Nord";"B";31/7/2008 00:00:00;30/11/2011 00:00:00;30/4/2009 00:00:00;31/5/2012 00:00:00;10/1/2011 00:00:00;7/11/2013 00:00:00;31/12/2015 00:00:00;31/12/2015 00:00:00;;;30714,00;"100";-2,36;47,18;"15";"-40";;"52";;"false";;"http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031872827&dateTexte=";;29/5/2012 00:00:00
"2015";"FR5202012";"Estuaire de la Loire Sud - Baie de Bourgneuf";"B";31/7/2008 00:00:00;31/7/2008 00:00:00;30/4/2009 00:00:00;30/4/2009 00:00:00;10/1/2011 00:00:00;10/1/2011 00:00:00;31/12/2015 00:00:00;31/12/2015 00:00:00;;;49441,00;"100";-2,26;47,09;"10";"-30";"-10";"52";;"false";;"http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031872839&dateTexte=";;30/4/2009 00:00:00
"2016";"FR5202013";"Plateau rocheux de l'île d'Yeu";"B";31/7/2008 00:00:00;31/10/2008 00:00:00;31/10/2008 00:00:00;31/10/2008 00:00:00;22/12/2009 00:00:00;22/12/2009 00:00:00;31/12/2015 00:00:00;31/12/2015 00:00:00;;;11998,00;"100";-2,43;46,70;"0";"-50";"-10";"52";;"false";;"http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031872845&dateTexte=";;30/10/2008 00:00:00
"2137";"FR2100344";"Ruisseaux de Vaux-la-Douce et des Bruyères";"B";30/6/1995 00:00:00;30/6/2006 00:00:00;31/3/1999 00:00:00;31/3/1999 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;1/9/2015 00:00:00;1/9/2015 00:00:00;;;6,00;;5,73;47,85;"260";"260";"260";"21";;"false";;"http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031147051";;15/12/2021 00:00:00
"2173";"FR2200392";"Massif forestier de Saint-Gobain";"B";31/1/1996 00:00:00;31/5/2005 00:00:00;31/3/1999 00:00:00;30/4/2006 00:00:00;7/12/2004 00:00:00;12/11/2007 00:00:00;26/12/2008 00:00:00;26/12/2008 00:00:00;;;434,00;;3,41;49,55;"209";"57";;"22";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000020124372";;28/4/2006 00:00:00
"2181";"FR2200387";"Massif forestier du Regnaval";"B";31/1/1996 00:00:00;28/2/2009 00:00:00;31/3/1999 00:00:00;31/3/1999 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;21/12/2010 00:00:00;21/12/2010 00:00:00;;;133,00;;3,85;49,91;"210";"121";;"22";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000023386594";;30/4/2009 00:00:00
"2478";"FR9101382";"Causse de Campestre et Luc";"B";31/3/1996 00:00:00;31/3/2006 00:00:00;31/12/1998 00:00:00;30/4/2006 00:00:00;19/7/2006 00:00:00;28/3/2008 00:00:00;26/12/2008 00:00:00;26/12/2008 00:00:00;;;3624,00;;3,40;43,94;"911";"580";;"91";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000020128963";;28/4/2006 00:00:00
"2479";"FR9101383";"Causse de Blandas";"B";31/3/1996 00:00:00;31/3/2006 00:00:00;31/12/1998 00:00:00;30/4/2006 00:00:00;19/7/2006 00:00:00;28/3/2008 00:00:00;9/9/2010 00:00:00;9/9/2010 00:00:00;;;7913,00;;3,53;43,91;"955";"540";;"91";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000022839151";;28/4/2006 00:00:00
"2489";"FR9101475";"Massif du Canigou";"B";31/1/1996 00:00:00;31/1/2007 00:00:00;30/4/2002 00:00:00;30/4/2002 00:00:00;22/12/2003 00:00:00;22/12/2003 00:00:00;25/3/2011 00:00:00;25/3/2011 00:00:00;;;11746,00;;2,35;42,46;"2731";"480";;"91";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000023826930";;28/6/2007 00:00:00
"2496";"FR9101487";"Grotte de la Ratapanade";"B";31/1/1996 00:00:00;30/6/2006 00:00:00;31/12/1998 00:00:00;31/12/1998 00:00:00;19/7/2006 00:00:00;19/7/2006 00:00:00;26/12/2008 00:00:00;26/12/2008 00:00:00;;;44,86;;2,94;43,17;"113";"40";;"91";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000020132755";;5/7/2006 00:00:00
"2501";"FR9101476";"Conque de la Preste";"B";31/1/1996 00:00:00;31/7/2006 00:00:00;31/3/2001 00:00:00;31/3/2001 00:00:00;22/12/2003 00:00:00;22/12/2003 00:00:00;26/12/2008 00:00:00;26/12/2008 00:00:00;;;8436,00;;2,42;42,41;"2465";"735";;"91";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000020132749";;21/12/2006 00:00:00
"2513";"FR9101461";"Grotte de la Valette";"B";31/1/1996 00:00:00;31/8/2011 00:00:00;28/2/2001 00:00:00;28/2/2001 00:00:00;19/7/2006 00:00:00;19/7/2006 00:00:00;26/12/2008 00:00:00;26/12/2008 00:00:00;;;115,00;;2,30;43,00;"759";"350";;"91";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000020132737";;23/9/2011 00:00:00
"2555";"FR8301018";"Côteaux de Château-Jaloux";"B";30/11/1995 00:00:00;30/6/2011 00:00:00;31/8/1998 00:00:00;31/8/1998 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;8/3/2012 00:00:00;8/3/2012 00:00:00;;;6,00;;3,10;46,09;"460";"360";;"83";;"true";;"http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025595697&fastPos=1&fastReqId=62526036&categorieLien=id&oldAction=rechTexte";;23/9/2011 00:00:00
"2667";"FR9402013";"Plateau du Cap Corse";"B";31/10/2008 00:00:00;;31/10/2008 00:00:00;31/10/2008 00:00:00;22/12/2009 00:00:00;22/12/2009 00:00:00;31/12/2015 00:00:00;31/12/2015 00:00:00;;;178265,00;"100";9,32;43,06;"0";"-1804";"-531";"94";;"false";;"http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031885659&dateTexte=";;30/10/2008 00:00:00
"2668";"FR9402014";"Grand herbier de la côte orientale";"B";31/10/2008 00:00:00;;31/10/2008 00:00:00;31/10/2008 00:00:00;22/12/2009 00:00:00;22/12/2009 00:00:00;31/12/2015 00:00:00;31/12/2015 00:00:00;;;43079,00;"100";9,57;42,25;"0";"-50";"-20";"94";;"false";;"http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031885665&dateTexte=";;30/10/2008 00:00:00
"2669";"FR9402015";"Bouches de Bonifacio, Iles des Moines";"B";31/10/2008 00:00:00;;31/10/2008 00:00:00;31/10/2008 00:00:00;22/12/2009 00:00:00;22/12/2009 00:00:00;31/12/2015 00:00:00;31/12/2015 00:00:00;;;94612,00;"100";9,02;41,37;"0";"-203";"-69";"94";;"false";;"http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031885671&dateTexte=";;30/10/2008 00:00:00
"2670";"FR9402016";"Pointe de Senetosa et prolongements";"B";31/10/2008 00:00:00;;31/10/2008 00:00:00;31/10/2008 00:00:00;22/12/2009 00:00:00;22/12/2009 00:00:00;31/12/2015 00:00:00;31/12/2015 00:00:00;;;3535,00;"100";8,83;41,54;"0";"-50";"-25";"94";;"false";;"http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031885677&dateTexte=";;30/10/2008 00:00:00
"2781";"FR7300858";"Chaos ruiniforme du Rajal Del Gorp";"B";31/1/1996 00:00:00;30/6/2006 00:00:00;31/5/2002 00:00:00;30/7/2003 00:00:00;19/7/2006 00:00:00;19/7/2006 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;106,00;;3,11;44,05;"833";"780";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000430374";;5/7/2006 00:00:00
"2782";"FR7300932";"Liset de Hount Blanque";"B";31/1/1996 00:00:00;30/11/2005 00:00:00;31/12/1998 00:00:00;31/12/1998 00:00:00;22/12/2003 00:00:00;22/12/2003 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;4059,00;;0,16;42,95;"2872";"920";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000465708";;9/3/2006 00:00:00
"2784";"FR7300848";"Gorges du Tarn";"B";31/1/1996 00:00:00;31/7/2006 00:00:00;31/7/2003 00:00:00;31/7/2003 00:00:00;19/7/2006 00:00:00;19/7/2006 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;489,00;;3,21;44,21;"850";"400";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000616087";;21/12/2006 00:00:00
"2785";"FR7300849";"Gorges de la Jonte";"B";31/1/1996 00:00:00;31/7/2006 00:00:00;31/7/2003 00:00:00;31/7/2003 00:00:00;19/7/2006 00:00:00;19/7/2006 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;778,00;;3,27;44,19;"900";"400";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000645056";;21/12/2006 00:00:00
"2786";"FR7300850";"Gorges de la Dourbie";"B";31/1/1996 00:00:00;30/6/2006 00:00:00;31/5/2002 00:00:00;28/2/2004 00:00:00;19/7/2006 00:00:00;19/7/2006 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;7087,00;;3,28;44,06;"850";"360";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000616088";;5/7/2006 00:00:00
"2787";"FR7300851";"Gorges de Trevezel";"B";31/1/1996 00:00:00;30/9/2006 00:00:00;31/5/2002 00:00:00;30/7/2003 00:00:00;19/7/2006 00:00:00;19/7/2006 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;396,00;;3,32;44,06;"940";"440";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000793571";;21/12/2006 00:00:00
"2793";"FR7300859";"Cirque et grotte du Boundoulaou";"B";31/1/1996 00:00:00;31/7/2011 00:00:00;31/12/1998 00:00:00;31/12/1998 00:00:00;19/7/2006 00:00:00;19/7/2006 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;223,00;;3,04;44,07;"780";"350";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000430375";;23/9/2011 00:00:00
"2795";"FR7300861";"Serre de Cougouille";"B";31/1/1996 00:00:00;30/6/2006 00:00:00;31/5/2002 00:00:00;30/7/2003 00:00:00;19/7/2006 00:00:00;19/7/2006 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;169,00;;3,13;43,96;"910";"860";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000793572";;5/7/2006 00:00:00
"2796";"FR7300862";"Cirques de Saint-Paul-des-Fonts et de Tournemire";"B";31/1/1996 00:00:00;30/6/2006 00:00:00;31/12/1998 00:00:00;31/12/1998 00:00:00;19/7/2006 00:00:00;19/7/2006 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;676,00;;3,04;43,95;"850";"500";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000793573";;5/7/2006 00:00:00
"2801";"FR7300855";"Causse Noir et ses corniches";"B";31/1/1996 00:00:00;30/6/2011 00:00:00;31/5/2002 00:00:00;30/7/2003 00:00:00;19/7/2006 00:00:00;19/7/2006 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;13990,00;;3,23;44,16;"1080";"450";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000430373";;23/9/2011 00:00:00
"2802";"FR7300822";"Vallée du Riberot et massif du Mont Valier";"B";31/1/1996 00:00:00;30/6/2005 00:00:00;31/5/2002 00:00:00;31/5/2002 00:00:00;22/12/2003 00:00:00;22/12/2003 00:00:00;22/8/2006 00:00:00;22/8/2006 00:00:00;;;7745,00;;1,06;42,81;"2800";"1000";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000644061";;20/12/2005 00:00:00
"2812";"FR7300821";"Vallée de l'Isard, mail de Bulard, pics de Maubermé, de Serre-Haute et du Crabère";"B";31/1/1996 00:00:00;30/9/2006 00:00:00;31/5/2002 00:00:00;31/5/2002 00:00:00;22/12/2003 00:00:00;22/12/2003 00:00:00;22/8/2006 00:00:00;22/8/2006 00:00:00;;;6428,00;;0,92;42,83;"2800";"800";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000271533";;21/12/2006 00:00:00
"2819";"FR7300836";"Chars de Moulis et de Liqué, grotte d'Aubert, Soulane de Balaguères et de Sainte-Catherine, granges des vallées de Sour et d'Astien";"B";31/1/1996 00:00:00;30/6/2006 00:00:00;31/3/2001 00:00:00;28/2/2004 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;4377,00;;1,03;42,96;"1219";"437";"764";"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000430371";;5/7/2006 00:00:00
"2827";"FR7300914";"Grotte de Fond d'Erbies";"B";31/3/1995 00:00:00;30/6/2011 00:00:00;31/8/1998 00:00:00;31/8/1998 00:00:00;7/12/2004 00:00:00;7/12/2004 00:00:00;22/8/2006 00:00:00;22/8/2006 00:00:00;;;1,00;;1,68;44,41;;;"200";"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000820143";;23/9/2011 00:00:00
"2835";"FR7300924";"Péguère, Barbat, Cambalès";"B";31/1/1996 00:00:00;30/9/2006 00:00:00;31/5/2002 00:00:00;30/3/2003 00:00:00;22/12/2003 00:00:00;22/12/2003 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;4651,00;;-0,17;42,85;"3005";"1050";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000616097";;21/12/2006 00:00:00
"2838";"FR7300927";"Estaubé, Gavarnie, Troumouse et Barroude";"B";31/1/1996 00:00:00;30/9/2005 00:00:00;31/5/2002 00:00:00;31/5/2002 00:00:00;22/12/2003 00:00:00;22/12/2003 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;9479,00;;0,05;42,73;"3248";"1100";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000615789";;20/12/2005 00:00:00
"2839";"FR7300928";"Pic Long Campbielh";"B";31/1/1996 00:00:00;31/12/2005 00:00:00;31/5/2002 00:00:00;31/5/2002 00:00:00;22/12/2003 00:00:00;22/12/2003 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;8174,00;;0,11;42,79;"3173";"1000";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000793579";;5/7/2006 00:00:00
"2848";"FR7300880";"Haute vallée d'Oô";"B";31/1/1996 00:00:00;30/9/2006 00:00:00;31/5/2002 00:00:00;31/5/2002 00:00:00;22/12/2003 00:00:00;22/12/2003 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;3407,00;;0,50;42,73;"3222";"1139";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000241450";;21/12/2006 00:00:00
"2849";"FR7300881";"Haute vallée de la Pique";"B";31/1/1996 00:00:00;30/9/2006 00:00:00;31/5/2002 00:00:00;31/5/2002 00:00:00;22/12/2003 00:00:00;22/12/2003 00:00:00;4/5/2007 00:00:00;4/5/2007 00:00:00;;;8251,00;;0,59;42,72;"3116";"650";;"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000000793765";;21/12/2006 00:00:00
"2850";"FR7300883";"Haute vallée de la Garonne";"B";31/1/1996 00:00:00;30/6/2011 00:00:00;31/5/2002 00:00:00;30/4/2006 00:00:00;22/12/2003 00:00:00;25/1/2008 00:00:00;26/12/2008 00:00:00;26/12/2008 00:00:00;;;11134,00;;0,78;42,87;"2629";"515";"1313";"73";;"false";;"http://www.legifrance.gouv.fr/jo_pdf.do?cidTexte=JORFTEXT000020124470";;23/9/2011 00:00:00
