"PK_HABIT1_DECL";"FPK_NATURA";"SITECODE";"FPK_HABIT1";"CODE";"LB_HAB_FR";"COVER";"AREA";"CONSERVE";"CONSERVE_METHODE";"COMMENTAIRE"
"34617";"5763";"FR7200681";"16955";"6420-2";"Prés humides littoraux thermo-atlantiques des Landes et des Charentes";"0,06";"7";"C";;
"34618";"5763";"FR7200681";"7663";"4020-1";"Landes humides atlantiques tempérées à Bruyère ciliée et Bruyère à quatre angles";"5,99";"650";"C";;
"34619";"5763";"FR7200681";"16956";"4030-4";"Landes sèches thermo-atlantiques";"0,06";"7";"C";;
"34620";"5763";"FR7200681";"7661";"3110-1";"Eaux stagnantes à végétation vivace oligotrophique planitiaire à collinéenne des régions atlantiques, des Littorelletea uniflorae";"0,57";"62";"B";;
"34621";"5763";"FR7200681";"7669";"2190-1";"Mares dunaires";"0,01";"1";"C";;
"34622";"5763";"FR7200681";"16951";"3160-1";"Mares dystrophes naturelles";"0,01";"1";"C";;
"34623";"5763";"FR7200681";"16952";"3140-2";"Communautés à characées des eaux oligo-mésotrophes faiblement acides à faiblement alcalines";"0,02";"2,5";"B";;
"34624";"5763";"FR7200681";"16953";"6410-7";"Prairies ouvertes acidiphiles atlantiques";"0,01";"1,5";"B";;
"34625";"5763";"FR7200681";"16953";"6410-8";"Prés humides acidiphiles atlantiques amphibies";"0,01";"1,5";"B";;
"34626";"5763";"FR7200681";"16953";"6410-10";"Prés humides acidiphiles thermo-atlantiques sur sol à assèchement estival";"2,3";"250";"B";;
"34627";"5763";"FR7200681";"7666";"9190-1";"Chênaies pédonculées à Molinie bleue";"2,58";"280";"B";;
"34628";"5763";"FR7200681";"14361";"2180-2";"Dunes boisées littorales thermo-atlantiques à Chêne vert";"0,15";"16";"A";;
"34629";"5763";"FR7200681";"14361";"2180-4";"Arrière-dunes boisées à Chêne pédonculé";"0,19";"21";"A";;
"34630";"5763";"FR7200681";"14361";"2180-5";"Aulnaies, saulaies, bétulaies et chênaies pédonculées marécageuses arrière-dunaires";"4,7";"510";"C";;
"34631";"5763";"FR7200681";"7665";"7210-1";"Végétations à Marisque";"6,18";"671";"B";;
"34632";"5763";"FR7200681";"7664";"7150-1";"Dépressions sur substrats tourbeux du Rhynchosporion";"0,16";"17";"A";;
"34633";"5763";"FR7200681";"16954";"3130-5";"Communautés annuelles oligotrophiques à mésotrophiques, acidiphiles, de niveau topographique moyen, planitiaires à montagnardes, des Isoeto-Juncetea";"0,01";"1";"B";;
"34634";"5763";"FR7200681";"7670";"9230-3";"Chênaies mélangées du massif landais";"0,5";"54";"B";;
"34668";"5823";"FR9101393";"3995";"5210-1";"Junipéraies à genévrier oxycèdre";"1,21";"128,92";"B";;
"34669";"5823";"FR9101393";"3995";"5210-3";"Junipéraies à genévrier rouge";"0,02";"2,17";"B";;
"34670";"5823";"FR9101393";"16152";"3250-1";"Végétation pionnière des rivières méditerranéennes à glaucière jaune et Scrophulaire des chiens";"0,02";"1,8";"C";;
"34671";"5823";"FR9101393";"16153";"3290-1";"Têtes de rivières et ruisseaux méditerranéens s'asséchant régulièrement ou cours médian en substrat géologique perméable";"0,09";"9,4";"C";;
"34672";"5823";"FR9101393";"16151";"3140-1";"Communautés à characées des eaux oligo-mésotrophes basiques";"0";"0,06";"C";;
"34673";"5823";"FR9101393";"3991";"3170-2";"gazons méditerranéens amphibies longuement inondés (Preslion)";"0,01";"0,87";"A";;
"34674";"5823";"FR9101393";"16154";"6420-4";"Prés humides méditerranéens du Languedoc";"0,05";"5,68";"C";;
"34678";"5891";"FR9400598";"4588";"92A0-4";"Aulnaies à Aulne glutineux et Aulne à feuilles cordées de Corse";"1";"30,56";;;
"34679";"5891";"FR9400598";"4587";"9260-4";"Châtaigneraies de la Corse";"4";"122,24";"C";;
"34680";"5891";"FR9400598";"4592";"9340-11";"Yeuseraies corses à gallet scabre";"0,33";"10,2";"B";;
"34681";"5891";"FR9400598";"4592";"9340-12";"Yeuseraies corses à Houx";"4,54";"138,61";"B";;
"34682";"5891";"FR9400598";"4590";"9580-2";"Peuplements d’If dans les forêts corses";"0,04";"1,07";"B";;
"34683";"5891";"FR9400598";"16636";"6170-18";"Pelouses mésohygrophiles et hygrophiles des pozzines de Corse";"2,64";"80,6";"B";;
"34684";"5891";"FR9400598";"16636";"6170-15";"Pelouses méso-xérophiles montagnardes de Corse";"10,6";"324";"B";;
"34685";"5891";"FR9400598";"4590";"9580-1";"Peuplements corses d’If à Aspérule odorante";"3,75";"114,53";"B";;
"34686";"5891";"FR9400598";"4585";"4090-7";"Fruticées supraméditerranéennes de Corse";"19,37";"592";"B";;
"34687";"5892";"FR9400599";"44";"8210-4";"Falaises calcaires de basse altitude, de Corse";"7,31";"13,6";"B";;
"34688";"5892";"FR9400599";"42";"92D0-1";"Galeries riveraines à Laurier-rose";"0,32";"0,6";"C";;
"34689";"5892";"FR9400599";"16653";"9320-3";"Peuplements à Lentisque, Oléastre et Clématite à toupet du littoral corse";"8,39";"15,6";"B";;
"34690";"5892";"FR9400599";"16651";"5330-1";"Fourrés thermophiles méditerranéens à Euphorbe arborescente";"0,11";"0,2";"C";;
"34691";"5911";"FR9402008";"12524";"6170-18";"Pelouses mésohygrophiles et hygrophiles des pozzines de Corse";"4,4";"0,66";;;
"34692";"5911";"FR9402008";"4742";"9530-2.3";"Peuplements denses montagnards de Pin laricio de Corse à Luzule du Piémont";"46,67";"7,69";"C";;
"34693";"5911";"FR9402008";"12522";"3130-2";"Eaux stagnantes à végétation vivace oligotrophique à mésotrophique planitiaire des régions continentales, des Littorelletea uniflorae";"13,6";"2,04";"B";;
"34245";"5487";"FR7200741";"34486";"9190-1";"Chênaies pédonculées à Molinie bleue";"0,14";"5,25";"B";;
"34246";"5487";"FR7200741";"34487";"4030-8";"Landes atlantiques fraîches méridionales";"0,01";"0,53";"B";;
"34247";"5487";"FR7200741";"34489";"5130-2";"Junipéraies secondaires planitiaires à montagnardes à genévrier commun";"0,01";"0,34";"B";;
"34248";"5487";"FR7200741";"34490";"6430-6";"Végétations des lisières forestières nitrophiles, hygroclines, héliophiles à semi-héliophiles";"0,16";"6,19";"B";;
"34249";"5487";"FR7200741";"34490";"6430-1";"Mégaphorbiaies mésotrophes collinéennes";"0,01";"0,28";"B";;
"34250";"5487";"FR7200741";"34490";"6430-4";"Mégaphorbiaies eutrophes des eaux douces";"0,12";"4,43";"B";;
"34251";"5487";"FR7200741";"34491";"91E0-8";"Aulnaies-frênaies à Laîche espacée des petits ruisseaux";"0,86";"32,68";"B";;
"34252";"5487";"FR7200741";"34492";"9230-3";"Chênaies mélangées du massif landais";"1,25";"47,41";"C";;
"34255";"5570";"FR9400602";"35429";"9340-11";"Yeuseraies corses à gallet scabre";"1,49";"11,47";"B";;
"34256";"5570";"FR9400602";"35431";"9330-3";"Suberaies corses";"8,53";"65,71";"B";;
"34257";"5572";"FR9400604";"35442";"2230-1";"Pelouses dunales des Malcolmietalia";"0";"0,15";"C";;
"34258";"5572";"FR9400604";"35443";"1210-3";"Laisses de mer des côtes méditerranéennes";"0";"0,16";"C";;
"34259";"5573";"FR9400606";"35445";"1150-2";"Lagunes méditerranéennes";"27,61";"37";"B";;
"34260";"5573";"FR9400606";"35446";"2110-2";"Dunes mobiles embryonnaires méditerranéennes";"0,52";"0,7";"C";;
"34261";"5573";"FR9400606";"35447";"1410-1";"Prés salés méditerranéens des bas niveaux";"0,75";"1,9";"B";;
"34262";"5573";"FR9400606";"35447";"1410-2";"Prés salés méditerranéens des hauts niveaux";"0,37";"0,5";"B";;
"34263";"5573";"FR9400606";"35448";"2260-1";"Dunes à végétation sclérophylle des Cisto-Lavanduletalia";"2,99";"4";"B";;
"34264";"5573";"FR9400606";"35449";"92D0-3";"Galeries riveraines à Tamaris";"3,13";"4,2";"C";;
"34265";"5573";"FR9400606";"35450";"2120-2";"Dunes mobiles à Ammophila arenaria subsp. australis des côtes méditerranéennes";"0,01";"0,01";;;
"34266";"5573";"FR9400606";"35451";"9330-3";"Suberaies corses";"18,43";"24,7";"B";;
"34267";"5573";"FR9400606";"35452";"1210-3";"Laisses de mer des côtes méditerranéennes";"0,01";"0,01";;;
"34268";"5573";"FR9400606";"35453";"2230-1";"Pelouses dunales des Malcolmietalia";"0,07";"0,09";"C";;
"34269";"5573";"FR9400606";"35455";"7210-1";"Végétations à Marisque";"0,9";"1,2";;;
"34270";"5573";"FR9400606";"35456";"2210-1";"Dunes fixées du littoral méditerranéen du Crucianellion maritimae";"0,01";"0,01";;;
"34271";"5573";"FR9400606";"35457";"1240-2";"Végétation des fissures des falaises cristallines";"0,17";"0,23";"B";;
"34272";"5573";"FR9400606";"35459";"1420-2";"Fourrés halophiles méditerranéens";"0,52";"0,7";"C";;
"34273";"5573";"FR9400606";"35460";"2250-1";"Fourrés à genévriers sur dunes";"2,54";"3,4";"B";;
"34274";"5573";"FR9400606";"35460";"2250-2";"Fourrés à genévriers sur falaises";"0,05";"0,07";"B";;
"34285";"5487";"FR7200741";"34484";"6510-1";"Prairies fauchées thermo-atlantiques méso-hygrophiles du Sud-Ouest";"0,25";"9,48";"C";;
"34286";"5487";"FR7200741";"34485";"3260-5";"Rivières eutrophes (d’aval), neutres à basiques, dominées par des Renoncules et des Potamots";"0";"0,04";"B";;
"34298";"5479";"FR7200695";"34432";"6430-6";"Végétations des lisières forestières nitrophiles, hygroclines, héliophiles à semi-héliophiles";"0";;"C";;
"34299";"5479";"FR7200695";"34432";"6430-7";"Végétations des lisières forestières nitrophiles, hygroclines, semi-sciaphiles à sciaphiles";"0";;"C";;
"34300";"5479";"FR7200695";"34432";"6430-4";"Mégaphorbiaies eutrophes des eaux douces";"0";;"C";;
"34301";"5479";"FR7200695";"34434";"91E0-8";"Aulnaies-frênaies à Laîche espacée des petits ruisseaux";"0";;"B";;
"34302";"5479";"FR7200695";"34434";"91E0-11";"Aulnaies à hautes herbes";"0";;"B";;
"34312";"5461";"FR2300137";"34283";"3260-4";"Rivières à Renoncules oligo-mésotrophes à méso-eutrophes, neutres à basiques";"2,91";"28";"C";;
"34313";"5461";"FR2300137";"34285";"6430-1";"Mégaphorbiaies mésotrophes collinéennes";"0,4";"3,86";"B";;
"34314";"5461";"FR2300137";"34285";"6430-4";"Mégaphorbiaies eutrophes des eaux douces";"1,65";"15,86";"B";;
"34315";"5461";"FR2300137";"34288";"3150-1";"Plans d’eau eutrophes avec végétation enracinée avec ou sans feuilles flottantes";"0,06";"0,55";"B";;
"34316";"5461";"FR2300137";"34288";"3150-3";"Plans d’eau eutrophes avec dominance de macrophytes libres flottant à la surface de l'eau";"0,01";"0,14";"B";;
"34317";"5461";"FR2300137";"34288";"3150-4";"Rivières, canaux et fossés eutrophes des marais naturels";"0";"0,04";"B";;
"34318";"5461";"FR2300137";"34290";"9180-2";"Frênaies de ravins hyperatlantiques à Scolopendre";"0,22";"2,15";;;
"34319";"5461";"FR2300137";"34291";"91E0-8";"Aulnaies-frênaies à Laîche espacée des petits ruisseaux";"0,39";"3,77";"C";;
"34320";"5461";"FR2300137";"34291";"91E0-9";"Frênaies-ormaies atlantiques à Aegopode des rivières à cours lent";"1,86";"17,87";"B";;
"34321";"5461";"FR2300137";"34292";"6510-4";"Prairies fauchées collinéennes à submontagnardes, mésohygrophiles";"0,63";"6,04";"C";;
"34322";"5461";"FR2300137";"34292";"6510-7";"Prairies fauchées collinéennes à submontagnardes eutrophiques";"0,12";"1,2";"B";;
"34323";"5339";"FR2200388";"32813";"3140-1";"Communautés à characées des eaux oligo-mésotrophes basiques";"0,08";"0,1";;;
"34333";"5368";"FR7200714";"33172";"3110-1";"Eaux stagnantes à végétation vivace oligotrophique planitiaire à collinéenne des régions atlantiques, des Littorelletea uniflorae";"2,12";"273,3";"C";;
"34334";"5368";"FR7200714";"33173";"3150-1";"Plans d’eau eutrophes avec végétation enracinée avec ou sans feuilles flottantes";"0,53";"68,4";"B";;
"34335";"5368";"FR7200714";"33174";"7110-1";"Végétation des tourbières hautes actives";"0";"0,3";"C";;
"34336";"5368";"FR7200714";"33175";"7120-1";"Végétation dégradée des tourbières hautes actives, susceptible de restauration";"0,01";"1,1";"C";;
"34337";"5368";"FR7200714";"33176";"7150-1";"Dépressions sur substrats tourbeux du Rhynchosporion";"0,13";"17";"C";;
"34338";"5368";"FR7200714";"33177";"91E0-8";"Aulnaies-frênaies à Laîche espacée des petits ruisseaux";"0";;"B";;
"34339";"5368";"FR7200714";"33177";"91E0-11";"Aulnaies à hautes herbes";"0";;"B";;
"34340";"5368";"FR7200714";"33178";"1330-2";"Prés salés du schorre moyen";"0,04";"4,89";"B";;
"34341";"5368";"FR7200714";"33179";"1420-1";"Fourrés halophiles thermo-atlantiques";"0,02";"3,09";"B";;
"34342";"5368";"FR7200714";"33180";"2110-1";"Dunes mobiles embryonnaires atlantiques";"0";"0,38";"B";;
"34343";"5368";"FR7200714";"33181";"3120-2";"Pelouses mésohygrophiles oligotrophiques thermo-atlantiques à Isoète épineux et Ophioglosses";"0";"0,4";"B";;
"34344";"5368";"FR7200714";"33182";"3130-2";"Eaux stagnantes à végétation vivace oligotrophique à mésotrophique planitiaire des régions continentales, des Littorelletea uniflorae";"0";;"C";;
"34345";"5368";"FR7200714";"33182";"3130-5";"Communautés annuelles oligotrophiques à mésotrophiques, acidiphiles, de niveau topographique moyen, planitiaires à montagnardes, des Isoeto-Juncetea";"0";;"C";;
"34346";"5368";"FR7200714";"33183";"9190-1";"Chênaies pédonculées à Molinie bleue";"7";"904,05";"B";;
"34347";"5368";"FR7200714";"33184";"9230-2";"Chênaies à Chêne tauzin et Bouleau de Sologne";"0,04";"5";"B";;
"34348";"5368";"FR7200714";"33185";"2130-2";"Dunes grises des côtes atlantiques";"0";;"C";;
"34349";"5368";"FR7200714";"33185";"2130-5";"Pelouses rases annuelles arrière-dunaires";"0";;"C";;
"34350";"5368";"FR7200714";"33186";"2180-2";"Dunes boisées littorales thermo-atlantiques à Chêne vert";"0";;"C";;
"34351";"5368";"FR7200714";"33186";"2180-3";"Dunes boisées littorales thermo-atlantiques à Chêne liège";"0";;"C";;
"34352";"5368";"FR7200714";"33186";"2180-4";"Arrière-dunes boisées à Chêne pédonculé";"0";;"C";;
"34353";"5368";"FR7200714";"33186";"2180-5";"Aulnaies, saulaies, bétulaies et chênaies pédonculées marécageuses arrière-dunaires";"0";;"C";;
"34354";"5368";"FR7200714";"33187";"3160-1";"Mares dystrophes naturelles";"0,02";"2,8";"C";;
"34355";"5368";"FR7200714";"33188";"4030-8";"Landes atlantiques fraîches méridionales";"0,04";"5,6";"C";;
"34356";"5368";"FR7200714";"33189";"6230-5";"Pelouses acidiphiles thermo-atlantiques";"0,45";"57,7";"C";;
"34357";"5368";"FR7200714";"33190";"6410-6";"Prés humides et bas-marais acidiphiles atlantiques";"0";;"C";;
"34358";"5368";"FR7200714";"33190";"6410-7";"Prairies ouvertes acidiphiles atlantiques";"0";;"C";;
"34359";"5368";"FR7200714";"33191";"6430-1";"Mégaphorbiaies mésotrophes collinéennes";"0";;"B";;
"34360";"5368";"FR7200714";"33191";"6430-4";"Mégaphorbiaies eutrophes des eaux douces";"0,04";;"B";;
"34361";"5368";"FR7200714";"33192";"1230-2";"Végétation des fissures des rochers thermo-atlantiques";"0";"0,01";"B";;
"34362";"5368";"FR7200714";"33193";"7140-1";"Tourbières de transition et tremblants";"0";"0,34";"C";;
"34363";"5368";"FR7200714";"33194";"91D0-1.1";"Boulaies pubescentes tourbeuses de plaine";"0,01";"1";"B";;
"34364";"5368";"FR7200714";"33195";"2170-1";"Dunes à Saule des dunes";"0";"0,12";"C";;
"34365";"5368";"FR7200714";"33196";"3270-1";"Bidention des rivières et Chenopodion rubri (hors Loire)";"0,02";"3";"B";;
"34366";"5368";"FR7200714";"33197";"7210-1";"Végétations à Marisque";"0,69";"89,6";"C";;
"34367";"5368";"FR7200714";"33198";"3260-1";"Rivières (à Renoncules) oligotrophes acides";"0,02";"2,9";"C";;
"34368";"5368";"FR7200714";"33199";"2190-3";"Bas-marais dunaires";"0";;"B";;
"34369";"5368";"FR7200714";"33199";"2190-5";"Roselières et cariçaies dunaires";"0";;"B";;
"34370";"5368";"FR7200714";"33200";"4020-1";"Landes humides atlantiques tempérées à Bruyère ciliée et Bruyère à quatre angles";"0,26";"33,7";"C";;
"34398";"5516";"FR8301077";"34869";"6210-36";"Pelouses calcicoles subatlantiques xériques et acidiclines sur basaltes et granites du Massif central et du Sud-Est";"0,15";"0,34";"C";;
"34399";"5516";"FR8301077";"34870";"6430-2";"Mégaphorbiaies mésotrophes montagnardes";"0,01";"0,03";"B";;
"34400";"5516";"FR8301077";"34870";"6430-3";"Mégaphorbiaies à Pétasite hybride";"0,02";"0,04";"B";;
"34401";"5516";"FR8301077";"34871";"6510-4";"Prairies fauchées collinéennes à submontagnardes, mésohygrophiles";"0,08";"0,19";"B";;
"34402";"5516";"FR8301077";"34871";"6510-5";"Prairies fauchées collinéennes à submontagnardes, mésophiles, mésotrophiques";"1,64";"3,84";"B";;
"34403";"5516";"FR8301077";"34871";"6510-7";"Prairies fauchées collinéennes à submontagnardes eutrophiques";"4,27";"9,99";"B";;
"34404";"5516";"FR8301077";"34872";"9120-3";"Hêtraies acidiphiles montagnardes à Houx";"0,28";"0,66";"B";;
"34405";"5516";"FR8301077";"34875";"91E0-6";"Aulnaies-frênaies de rivières à eaux rapides à Stellaire des bois sur alluvions siliceuses";"0,04";"0,09";"A";;
"34406";"5553";"FR9400579";"35249";"9530-2.1";"Peuplements supraméditerranéens de Pin laricio de Corse à Bruyère arborescente";"7,95";"203,1";"C";;
"34407";"5553";"FR9400579";"35249";"9530-2.2";"Peuplements clairs d’adret de Pin laricio de Corse à Anthyllide faux hermannia";"5,78";"147,6";"C";;
"34408";"5553";"FR9400579";"35249";"9530-2.3";"Peuplements denses montagnards de Pin laricio de Corse à Luzule du Piémont";"4,5";"114,9";"C";;
"34409";"5553";"FR9400579";"35250";"9260-4";"Châtaigneraies de la Corse";"0,17";"4,4";;;
"34410";"5339";"FR2200388";"32816";"91E0-8";"Aulnaies-frênaies à Laîche espacée des petits ruisseaux";"8,65";"11,5";"A";"Evaluation à dire d'expert";
"34411";"5339";"FR2200388";"32817";"6430-1";"Mégaphorbiaies mésotrophes collinéennes";"0,19";"0,25";"B";"Evaluation à dire d'expert";
"34412";"5339";"FR2200388";"32818";"6510-5";"Prairies fauchées collinéennes à submontagnardes, mésophiles, mésotrophiques";"3,69";"4,91";"B";"Evaluation à dire d'expert";
"34415";"5553";"FR9400579";"35252";"9580-2";"Peuplements d’If dans les forêts corses";"0,04";"0,9";;;
"34417";"5380";"FR7200801";"33321";"6430-7";"Végétations des lisières forestières nitrophiles, hygroclines, semi-sciaphiles à sciaphiles";"0";;"C";"Autre méthode (préciser)";"Pas de détails sur la répartition des surfaces par habitat élémentaire (superficie totale 6430-6 + 6430-7 = 11.89ha)"
"34418";"5380";"FR7200801";"33321";"6430-4";"Mégaphorbiaies eutrophes des eaux douces";"1,54";"5,03";"C";"Autre méthode (préciser)";
"34419";"5380";"FR7200801";"33321";"6430-6";"Végétations des lisières forestières nitrophiles, hygroclines, héliophiles à semi-héliophiles";"0";;"C";"Autre méthode (préciser)";"Pas de détails sur la répartition des surfaces par habitat élémentaire (superficie totale 6430-6 + 6430-7 = 11.89ha)"
"34420";"5380";"FR7200801";"33322";"91E0-9";"Frênaies-ormaies atlantiques à Aegopode des rivières à cours lent";"0";"0";;;"HABITAT ELEMENTAIRE 91E0-9 A SUPPRIMER... ERREUR DE SAISIE (Impossible à corriger, la commande suppression ne fonctionne pas)."
"34421";"5380";"FR7200801";"33322";"91E0-8";"Aulnaies-frênaies à Laîche espacée des petits ruisseaux";"0";;"B";"Autre méthode (préciser)";"Pas de détails sur la répartition des surfaces par habitat élémentaire (superficietotale 91E0-8 + 91E0-11 = 33ha)"
"34422";"5380";"FR7200801";"33322";"91E0-11";"Aulnaies à hautes herbes";"10,12";;"B";"Autre méthode (préciser)";"Pas de détails sur la répartition des surfaces par habitat élémentaire (superficietotale 91E0-8 + 91E0-11 = 33ha)"
"34430";"5453";"FR9301601";"34167";"6220-3";"Pelouses à thérophytes méditerranéennes mésothermes sur sables dolomitiques";"0,06";"3,3";"B";;
"34431";"5453";"FR9301601";"34167";"6220-1";"Ourlets méditerranéens mésothermes à Brachypode rameux de Provence et des Alpes-Maritimes";"2,65";"147";"B";;
"34432";"5453";"FR9301601";"34167";"6220-2";"Pelouses à thérophytes méditerranéennes mésothermes";"0,2";"11,6";"B";;
"34433";"5453";"FR9301601";"34168";"9340-3";"Yeuseraies à Laurier-tin";"0,17";"9,4";"C";;
"34434";"5453";"FR9301601";"34169";"3170-4";"gazons amphibies annuels méditerranéens (Nanocyperetalia)";"0";"0,16";"B";"Evaluation à dire d'expert";
"34435";"5453";"FR9301601";"34171";"5210-3";"Junipéraies à genévrier rouge";"0,01";"0,76";"C";;
"34436";"5453";"FR9301601";"34173";"9540-3.1";"Peuplements de Pin d’Alep de transition entre le thermo et le mésoméditerranéen";"0,28";"15,4";"B";"Evaluation à dire d'expert";
"34437";"5453";"FR9301601";"34174";"1240-1";"Végétation des fissures des falaises calcaires";"0,2";"11";"B";;
"34438";"5453";"FR9301601";"34175";"8130-23";"Éboulis calcaires de Provence";"1,33";"74";"A";"Evaluation à dire d'expert";
"34439";"5453";"FR9301601";"34176";"8210-1";"Falaises calcaires méditerranéennes thermophiles";"5,8";"322";"A";;
"34440";"5566";"FR9400597";"35401";"8210-5";"Falaises calcaires de moyenne altitude, de Corse";"7,07";"12,65";"B";;
"34441";"5566";"FR9400597";"35402";"9540-1.4";"Peuplements de Pin maritime de Provence et Alpes-Maritimes sur substrats calcaires et dolomitiques";"0,29";"0,52";;;
"34454";"5557";"FR9400583";"35292";"9340-12";"Yeuseraies corses à Houx";"3,14";"23";;;
"34455";"5557";"FR9400583";"35293";"9540-1.5";"Peuplements mésoméditerranéens de Pin maritime de Corse";"24,69";"181";"A";;
"34456";"5557";"FR9400583";"35295";"8220-11";"Falaises siliceuses supraméditerranéennes à subalpines de Corse";"13,51";"99";"B";;
"34457";"5557";"FR9400583";"35296";"92A0-4";"Aulnaies à Aulne glutineux et Aulne à feuilles cordées de Corse";"6,55";"48";"A";;
"34458";"5557";"FR9400583";"35297";"9530-2.3";"Peuplements denses montagnards de Pin laricio de Corse à Luzule du Piémont";"2,05";"15";"A";;
"34459";"5557";"FR9400583";"35297";"9530-2.1";"Peuplements supraméditerranéens de Pin laricio de Corse à Bruyère arborescente";"44,61";"327";"A";;
"34460";"5557";"FR9400583";"35298";"9580-2";"Peuplements d’If dans les forêts corses";;"1";;;
"34461";"5557";"FR9400583";"35299";"4090-7";"Fruticées supraméditerranéennes de Corse";"5,05";"37";"B";;
