"PK_HABIT1";"FPK_NATURA";"SITECODE";"CD_UE";"LB_HABDH_FR";"COVER";"REPRESENT";"REL_SURF";"CONSERVE";"GLOBAL";"CAVES";"QUALITY";"AREA";"PF";"CONSERVE_TENDANCE";"CONSERVE_CRITERE_AUTRE";"CONSERVE_CRITERE_STRUCT_FONCT";"CONSERVE_CRITERE_SURFACE";"CONSERVE_METHODE";"INVENTAIRE_ANNEE_MIN";"INVENTAIRE_ANNEE";"INVENTAIRE_AUTEUR";"CD_HAB";"CONSERVE_METHODE_COMMENTAIRE"
"3086";"1907";"FR4100199";"8220";"Pentes rocheuses siliceuses avec végétation chasmophytique";"1";"C";"C";"A";"A";;;"6,86";"false";;;;;;"";"";;"2787";
"3087";"1907";"FR4100199";"8110";"Eboulis siliceux de l'étage montagnard à nival (Androsacetalia alpinae et Galeopsietalia ladani)";"1";"C";"C";"A";"A";;;"6,86";"false";;;;;;"";"";;"2781";
"3088";"1907";"FR4100199";"7140";"Tourbières de transition et tremblantes";"1";"C";"C";"B";"C";;;"6,86";"false";;;;;;"";"";;"2823";
"3089";"1907";"FR4100199";"7110";"Tourbières hautes actives";"1";"C";"C";"B";"C";;;"6,86";"true";;;;;;"";"";;"2821";
"3090";"1907";"FR4100199";"6430";"Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin";"1";"C";"C";"B";"C";;;"6,86";"false";;;;;;"";"";;"2835";
"3091";"1907";"FR4100199";"6230";"Formations herbeuses à Nardus, riches en espèces, sur substrats siliceux des zones montagnardes (et des zones submontagnardes de l'Europe continentale)";"1";"C";"C";"B";"C";;;"6,86";"true";;;;;;"";"";;"2797";
"3092";"1907";"FR4100199";"4030";"Landes sèches européennes";"1";"C";"C";"B";"C";;;"6,86";"false";;;;;;"";"";;"2872";
"3093";"1908";"FR4100201";"9410";"Forêts acidophiles à Picea des étages montagnard à alpin (Vaccinio-Piceetea)";"42";"A";"C";"B";"A";;;"440,58";"false";;;;;;"";"";;"2843";
"3094";"1908";"FR4100201";"6430";"Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin";"1";"C";"C";"B";"C";;;"10,49";"false";;;;;;"";"";;"2835";
"3095";"1908";"FR4100201";"9110";"Hêtraies du Luzulo-Fagetum";"27";"A";"C";"B";"A";;;"283,23";"false";;;;;;"";"";;"2813";
"3096";"1908";"FR4100201";"3260";"Rivières des étages planitiaire à montagnard avec végétation du Ranunculion fluitantis et du Callitricho-Batrachion";"1";"C";"C";"B";"C";;;"10,49";"false";;;;;;"";"";;"2767";
"3097";"1908";"FR4100201";"4030";"Landes sèches européennes";"1";"B";"C";"B";"B";;;"10,49";"false";;;;;;"";"";;"2872";
"3098";"1908";"FR4100201";"91E0";"Forêts alluviales à Alnus glutinosa et Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)";"2";"C";"C";"B";"C";;;"20,98";"true";;;;;;"";"";;"2794";
"3099";"1908";"FR4100201";"9130";"Hêtraies de l'Asperulo-Fagetum";"3";"B";"C";"B";"A";;;"31,47";"false";;;;;;"";"";;"2814";
"3100";"1909";"FR4100202";"4030";"Landes sèches européennes";"3";"C";"C";"B";"B";;;"10,68";"false";;;;;;"";"";;"2872";
"3101";"1909";"FR4100202";"7110";"Tourbières hautes actives";"2";"B";"C";"B";"A";;;"7,12";"true";;;;;;"";"";;"2821";
"3102";"1909";"FR4100202";"7120";"Tourbières hautes dégradées encore susceptibles de régénération naturelle";"2";"D";;;;;;"7,12";"false";;;;;;"";"";;"2826";
"3103";"1909";"FR4100202";"7150";"Dépressions sur substrats tourbeux du Rhynchosporion";"0";"D";;;;;;"0";"false";;;;;;"";"";;"2825";
"3104";"1909";"FR4100202";"9110";"Hêtraies du Luzulo-Fagetum";"44";"B";"C";"B";"B";;;"156,64";"false";;;;;;"";"";;"2813";
"3105";"1909";"FR4100202";"91D0";"Tourbières boisées";"4";"B";"C";"B";"A";;;"14,24";"true";;;;;;"";"";;"2754";
"3106";"1909";"FR4100202";"9130";"Hêtraies de l'Asperulo-Fagetum";"2";"B";"C";"B";"B";;;"7,12";"false";;;;;;"";"";;"2814";
"3107";"1909";"FR4100202";"9410";"Forêts acidophiles à Picea des étages montagnard à alpin (Vaccinio-Piceetea)";"25";"B";"C";"B";"B";;;"89";"false";;;;;;"";"";;"2843";
"3108";"1910";"FR4100203";"4030";"Landes sèches européennes";"15";"B";"C";"B";"B";;;"31,5";"false";;;;;;"";"";;"2872";
"3109";"1910";"FR4100203";"4060";"Landes alpines et boréales";"15";"B";"C";"B";"B";;;"31,5";"false";;;;;;"";"";;"2696";
"3110";"1910";"FR4100203";"6230";"Formations herbeuses à Nardus, riches en espèces, sur substrats siliceux des zones montagnardes (et des zones submontagnardes de l'Europe continentale)";"37";"B";"C";"B";"B";;;"77,7";"true";;;;;;"";"";;"2797";
"3111";"1910";"FR4100203";"7110";"Tourbières hautes actives";"2";"B";"C";"B";"B";;;"4,2";"true";;;;;;"";"";;"2821";
"3112";"1910";"FR4100203";"9140";"Hêtraies subalpines médio-européennes à Acer et Rumex arifolius";"8";"A";"C";"B";"B";;;"16,8";"false";;;;;;"";"";;"2816";
"3113";"1910";"FR4100203";"91D0";"Tourbières boisées";"1";"D";;;;;;"2,1";"true";;;;;;"";"";;"2754";
"3114";"1911";"FR4100204";"4060";"Landes alpines et boréales";"23";"B";"C";"B";"B";;;"123,74";"false";;;;;;"";"";;"2696";
"3115";"1911";"FR4100204";"6230";"Formations herbeuses à Nardus, riches en espèces, sur substrats siliceux des zones montagnardes (et des zones submontagnardes de l'Europe continentale)";"23";"A";"C";"B";"B";;;"123,74";"true";;;;;;"";"";;"2797";
"3116";"1911";"FR4100204";"7110";"Tourbières hautes actives";"28";"A";"C";"A";"A";;;"150,64";"true";;;;;;"";"";;"2821";
"3117";"1911";"FR4100204";"7120";"Tourbières hautes dégradées encore susceptibles de régénération naturelle";"2";"A";"C";"C";"A";;;"10,76";"false";;;;;;"";"";;"2826";
"3118";"1911";"FR4100204";"7140";"Tourbières de transition et tremblantes";"1";"A";"C";"A";"A";;;"5,38";"false";;;;;;"";"";;"2823";
"3119";"1911";"FR4100204";"7150";"Dépressions sur substrats tourbeux du Rhynchosporion";"1";"A";"C";"A";"A";;;"5,38";"false";;;;;;"";"";;"2825";
"3120";"1911";"FR4100204";"9110";"Hêtraies du Luzulo-Fagetum";"3";"A";"C";"B";"B";;;"16,14";"false";;;;;;"";"";;"2813";
"3121";"1911";"FR4100204";"9130";"Hêtraies de l'Asperulo-Fagetum";"4";"A";"C";"B";"B";;;"21,52";"false";;;;;;"";"";;"2814";
"3122";"1911";"FR4100204";"9140";"Hêtraies subalpines médio-européennes à Acer et Rumex arifolius";"10";"A";"B";"A";"A";;;"53,8";"false";;;;;;"";"";;"2816";
"3123";"1911";"FR4100204";"9180";"Forêts de pentes, éboulis ou ravins du Tilio-Acerion";"1";"D";;;;;;"5,38";"true";;;;;;"";"";;"2819";
"3124";"1911";"FR4100204";"91D0";"Tourbières boisées";"3";"B";"C";"A";"A";;;"16,14";"true";;;;;;"";"";;"2754";
"3125";"1911";"FR4100204";"5130";"Formations à Juniperus communis sur landes ou pelouses calcaires";"1";"C";"C";"C";"C";;;"5,38";"false";;;;;;"";"";;"2807";
"3126";"1912";"FR4100205";"3160";"Lacs et mares dystrophes naturels";"70";"A";"B";"B";"A";;;"7,7";"false";;;;;;"";"";;"2759";
"3127";"1912";"FR4100205";"6520";"Prairies de fauche de montagne";"1";"A";"C";"B";"B";;;"0,11";"false";;;;;;"";"";;"2840";
"3128";"1912";"FR4100205";"7110";"Tourbières hautes actives";"1";"A";"C";"C";"B";;;"0,11";"true";;;;;;"";"";;"2821";
"3129";"1912";"FR4100205";"7140";"Tourbières de transition et tremblantes";"28";"A";"C";"C";"B";;;"3,08";"false";;;;;;"";"";;"2823";
"3135";"1914";"FR4100207";"3130";"Eaux stagnantes, oligotrophes à mésotrophes avec végétation des Littorelletea uniflorae et/ou des Isoeto-Nanojuncetea";"12";"C";"C";"C";"C";;;"1,8";"false";;;;;;"";"";;"2756";
"3136";"1914";"FR4100207";"7150";"Dépressions sur substrats tourbeux du Rhynchosporion";"1";"D";;;;;;"0,15";"false";;;;;;"";"";;"2825";
"3137";"1914";"FR4100207";"7110";"Tourbières hautes actives";"1";"D";;;;;;"0,15";"true";;;;;;"";"";;"2821";
"3138";"1914";"FR4100207";"91D0";"Tourbières boisées";"15";"C";"C";"C";"C";;;"2,25";"true";;;;;;"";"";;"2754";
"3139";"1914";"FR4100207";"9110";"Hêtraies du Luzulo-Fagetum";"16";"C";"C";"C";"C";;;"2,4";"false";;;;;;"";"";;"2813";
"3149";"1916";"FR4100209";"7110";"Tourbières hautes actives";"20";"A";"C";"C";"A";;;"3,4";"true";;;;;;"";"";;"2821";
"3150";"1916";"FR4100209";"7150";"Dépressions sur substrats tourbeux du Rhynchosporion";"3";"A";"C";"C";"A";;;"0,51";"false";;;;;;"";"";;"2825";
"3151";"1916";"FR4100209";"91D0";"Tourbières boisées";"20";"A";"C";"C";"A";;;"3,4";"true";;;;;;"";"";;"2754";
"3152";"1917";"FR4100210";"7110";"Tourbières hautes actives";"0";"A";"C";"B";"B";;;"0";"true";;;;;;"";"";;"2821";
"3153";"1917";"FR4100210";"7120";"Tourbières hautes dégradées encore susceptibles de régénération naturelle";"0";"A";"C";"B";"B";;;"0";"false";;;;;;"";"";;"2826";
"3154";"1917";"FR4100210";"7150";"Dépressions sur substrats tourbeux du Rhynchosporion";"0";"A";"C";"C";"B";;;"0";"false";;;;;;"";"";;"2825";
"3155";"1918";"FR4100211";"7110";"Tourbières hautes actives";"18";"C";"C";"C";"B";;;"0,54";"true";;;;;;"";"";;"2821";
"3156";"1918";"FR4100211";"7150";"Dépressions sur substrats tourbeux du Rhynchosporion";"0";"C";"C";"C";"C";;;"0";"false";;;;;;"";"";;"2825";
"3157";"1918";"FR4100211";"91D0";"Tourbières boisées";"42";"C";"C";"C";"C";;;"1,26";"true";;;;;;"";"";;"2754";
"3158";"1918";"FR4100211";"7120";"Tourbières hautes dégradées encore susceptibles de régénération naturelle";"20";"C";"C";"B";"B";;;"0,6";"false";;;;;;"";"";;"2826";
"3159";"1918";"FR4100211";"9110";"Hêtraies du Luzulo-Fagetum";"20";"C";"C";"C";"C";;;"0,6";"false";;;;;;"";"";;"2813";
"3541";"1970";"FR7200670";"5130";"Formations à Juniperus communis sur landes ou pelouses calcaires";"10";"B";"C";"B";"B";;;"27,2";"false";;;;;;"";"";;"2807";
"3542";"1970";"FR7200670";"6210";"Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco-Brometalia) (* sites d'orchidées remarquables)";"25";"A";"C";"A";"A";;;"68";"false";;;;;;"";"";;"2842";
"3543";"1970";"FR7200670";"8210";"Pentes rocheuses calcaires avec végétation chasmophytique";"20";"B";"C";"B";"B";;;"54,4";"false";;;;;;"";"";;"2876";
"3750";"2013";"FR5202010";"1110";"Bancs de sable à faible couverture permanente d'eau marine";"18";"B";"C";"B";"B";;;"757,44";"false";;;;;;"";"";;"2707";
"3751";"2013";"FR5202010";"1170";"Récifs";"37";"A";"C";"B";"B";;;"1556,96";"false";;;;;;"";"";;"2713";
"3752";"2014";"FR5202011";"1110";"Bancs de sable à faible couverture permanente d'eau marine";"72";"A";"C";"C";"B";;;"22114,08";"false";;;;;;"";"";;"2707";
"3753";"2014";"FR5202011";"1140";"Replats boueux ou sableux exondés à marée basse";"3";"C";"C";"B";"B";;;"921,42";"false";;;;;;"";"";;"2710";
"3754";"2014";"FR5202011";"1130";"Estuaires";"17";"A";"C";"C";"C";;;"5221,38";"false";;;;;;"";"";;"2709";
"3755";"2014";"FR5202011";"1170";"Récifs";"8";"A";"C";"B";"B";;;"2457,12";"false";;;;;;"";"";;"2713";
"3756";"2015";"FR5202012";"1110";"Bancs de sable à faible couverture permanente d'eau marine";"40";"A";"C";"C";"A";;;"19776,4";"false";;;;;;"";"";;"2707";
"3757";"2015";"FR5202012";"1130";"Estuaires";"0";"A";"C";"B";"A";;;"0";"false";;;;;;"";"";;"2709";
"3758";"2015";"FR5202012";"1140";"Replats boueux ou sableux exondés à marée basse";"2";"C";"C";"B";"B";;;"988,82";"false";;;;;;"";"";;"2710";
"3759";"2015";"FR5202012";"1160";"Grandes criques et baies peu profondes";"0";"A";"C";"B";"A";;;"0";"false";;;;;;"";"";;"2712";
"3760";"2015";"FR5202012";"1170";"Récifs";"32";"A";"C";"A";"A";;;"15821,12";"false";;;;;;"";"";;"2713";
"3761";"2016";"FR5202013";"1110";"Bancs de sable à faible couverture permanente d'eau marine";"52";"A";"C";"B";"B";;;"6238,96";"false";;;;;;"";"";;"2707";
"3762";"2016";"FR5202013";"1160";"Grandes criques et baies peu profondes";"7";"B";"C";"B";"B";;;"839,86";"false";;;;;;"";"";;"2712";
"3763";"2016";"FR5202013";"1170";"Récifs";"40";"A";"C";"A";"A";;;"4799,2";"false";;;;;;"";"";;"2713";
"3764";"2016";"FR5202013";"8330";"Grottes marines submergées ou semi-submergées";"0,01";"D";;;;;;"1,2";"false";;;;;;"";"";;"2771";
"4112";"2047";"FR5200659";"1110";"Bancs de sable à faible couverture permanente d'eau marine";"2";"B";"B";"B";"B";;;"954,9";"false";;;;;;"";"";;"2707";
"4113";"2047";"FR5200659";"1130";"Estuaires";"8";"A";"B";"B";"B";;;"3819,6";"false";;;;;;"";"";;"2709";
"4114";"2047";"FR5200659";"1140";"Replats boueux ou sableux exondés à marée basse";"4";"A";"C";"B";"B";;;"1909,8";"false";;;;;;"";"";;"2710";
"4115";"2047";"FR5200659";"1150";"Lagunes côtières";"2";"A";"B";"B";"B";;;"954,9";"true";;;;;;"";"";;"2711";
"4116";"2047";"FR5200659";"1210";"Végétation annuelle des laissés de mer";"2";"C";"C";"B";"B";;;"954,9";"false";;;;;;"";"";;"2716";
